Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
2020-06-30,645.0,655.1,644.4,650.05,650.03,21084.0,1418.0,13705293.0,6905.0,32.75,10.7,5.05,BOM500008
2020-06-29,648.0,649.05,636.0,641.9,640.73,10304.0,626.0,6602086.0,2044.0,19.84,13.05,-6.1,BOM500008
2020-06-26,643.5,651.1,641.45,647.7,646.77,12949.0,654.0,8375032.0,1993.0,15.39,9.65,4.2,BOM500008
2020-06-25,650.0,656.0,635.2,640.1,643.16,21967.0,1064.0,14128249.0,5622.0,25.59,20.8,-9.9,BOM500008
2020-06-24,664.0,674.9,652.3,655.15,665.79,26039.0,1733.0,17336630.0,8697.0,33.4,22.6,-8.85,BOM500008
2020-06-23,663.05,673.15,657.6,661.9,662.76,12771.0,663.0,8464166.0,2754.0,21.56,15.55,-1.15,BOM500008
2020-06-22,670.5,680.2,661.1,666.45,670.65,19523.0,1006.0,13093183.0,6178.0,31.64,19.1,-4.05,BOM500008
2020-06-19,670.0,685.0,670.0,673.95,678.68,22268.0,930.0,15112901.0,6054.0,27.19,15.0,3.95,BOM500008
2020-06-18,672.6,683.0,665.55,679.5,674.85,21208.0,1139.0,14312297.0,3253.0,15.34,17.45,6.9,BOM500008
2020-06-17,656.0,688.8,656.0,672.6,676.31,30164.0,1783.0,20400187.0,5099.0,16.9,32.8,16.6,BOM500008
2020-06-16,660.0,671.95,652.95,666.25,663.99,48213.0,3256.0,32013091.0,17260.0,35.8,19.0,6.25,BOM500008
2020-06-15,645.05,661.2,637.95,645.0,647.64,20905.0,990.0,13538844.0,2760.0,13.2,23.25,-0.05,BOM500008
2020-06-12,611.0,660.0,611.0,657.15,640.2,24890.0,1077.0,15934590.0,4678.0,18.79,49.0,46.15,BOM500008
2020-06-11,661.9,665.05,639.45,640.95,648.0,14864.0,620.0,9631865.0,1884.0,12.67,25.6,-20.95,BOM500008
2020-06-10,661.6,665.6,653.15,661.9,659.14,7126.0,414.0,4697049.0,1666.0,23.38,12.45,0.3,BOM500008
2020-06-09,663.15,667.65,652.3,656.6,659.8,28922.0,1467.0,19082626.0,7887.0,27.27,15.35,-6.55,BOM500008
2020-06-08,680.2,684.0,658.85,662.55,668.1,28717.0,1305.0,19185960.0,5974.0,20.8,25.15,-17.65,BOM500008
2020-06-05,672.0,672.35,658.95,670.7,666.7,44342.0,2085.0,29562715.0,7045.0,15.89,13.4,-1.3,BOM500008
2020-06-04,650.6,665.5,650.6,659.75,660.74,33125.0,1084.0,21886908.0,3468.0,10.47,14.9,9.15,BOM500008
2020-06-03,680.0,680.0,646.8,650.75,657.35,41524.0,1622.0,27295783.0,11175.0,26.91,33.2,-29.25,BOM500008
2020-06-02,663.0,678.0,655.15,664.9,666.44,92617.0,2839.0,61723831.0,23035.0,24.87,22.85,1.9,BOM500008
2020-06-01,620.0,655.85,620.0,653.5,648.53,95832.0,3292.0,62150388.0,12004.0,12.53,35.85,33.5,BOM500008
2020-05-29,606.0,623.4,603.2,614.55,615.01,35205.0,1712.0,21651566.0,3725.0,10.58,20.2,8.55,BOM500008
2020-05-28,615.0,620.0,611.35,614.3,615.97,15838.0,652.0,9755714.0,3219.0,20.32,8.65,-0.7,BOM500008
2020-05-27,608.0,613.95,599.1,610.65,607.15,16556.0,1004.0,10051910.0,3221.0,19.46,14.85,2.65,BOM500008
2020-05-26,609.95,609.95,595.0,605.7,602.1,26738.0,977.0,16098830.0,4598.0,17.2,14.95,-4.25,BOM500008
2020-05-22,600.0,613.65,587.0,592.4,602.99,95023.0,3408.0,57298256.0,7336.0,7.72,26.65,-7.6,BOM500008
2020-05-21,568.0,599.0,567.25,596.25,592.31,52319.0,2256.0,30989289.0,5718.0,10.93,31.75,28.25,BOM500008
2020-05-20,566.85,571.55,551.8,569.3,564.0,27665.0,1450.0,15602960.0,2631.0,9.51,19.75,2.45,BOM500008
2020-05-19,552.0,571.35,541.0,564.1,555.43,35422.0,1502.0,19674427.0,6338.0,17.89,30.35,12.1,BOM500008
2020-05-18,579.0,581.35,536.35,540.65,556.16,123126.0,4039.0,68478240.0,10444.0,8.48,45.0,-38.35,BOM500008
