Date,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD to INR)
2018-07-12,4920.19,4121.52,798.67,116.04,68.829
2018-07-11,5319.15,5230.68,88.47,12.86,68.7942
2018-07-10,4489.23,5001.53,-512.3,-74.62,68.6573
2018-07-09,4087.36,5127.08,-1039.72,-150.95,68.8757
2018-07-06,4330.83,4033.75,297.08,43.21,68.7545
2018-07-05,4448.38,4123.32,325.06,47.43,68.5312
2018-07-04,2185.59,4063.66,-1878.07,-273.4,68.6935
2018-07-03,3408.07,4688.47,-1280.4,-186.59,68.6227
2018-07-02,6572.95,6773.66,-200.71,-29.27,68.5753
2018-06-29,7285.19,8093.13,-807.94,-117.2,68.9389
2018-06-28,5654.04,5595.63,58.41,8.52,68.5246
2018-06-27,4923.44,5324.67,-401.23,-58.86,68.1676
2018-06-26,4115.62,3793.49,322.13,47.27,68.1466
2018-06-25,5175.94,6288.78,-1112.84,-164.21,67.7695
2018-06-22,6437.24,5127.96,1309.28,191.99,68.195
2018-06-21,3825.4,6202.89,-2377.49,-349.2,68.0838
2018-06-20,4503.96,5722.53,-1218.57,-178.8,68.1511
2018-06-19,3583.91,3990.69,-406.78,-59.8,68.0248
2018-06-18,9506.74,11151.88,-1645.14,-242.03,67.9739
2018-06-15,4703.55,5595.64,-892.09,-131.8,67.6875
2018-06-14,5039.55,4863.79,175.76,25.99,67.6251
2018-06-13,4086.23,5378.38,-1292.15,-191.55,67.4571
2018-06-12,4010.58,5114.69,-1104.11,-163.98,67.3353
2018-06-11,4915.36,4899.27,16.09,2.38,67.5228
2018-06-08,3607.98,4108.88,-500.9,-74.74,67.0181
2018-06-07,3994.64,3975.02,19.62,2.93,67.0397
2018-06-06,4765.71,4962.07,-196.36,-29.23,67.1794
2018-06-05,9642.34,6653.82,2988.52,445.69,67.0543
2018-06-04,4927.37,4804.13,123.24,18.34,67.184
2018-06-01,21915.74,22431.95,-516.21,-76.53,67.4526
2018-05-31,5357.17,6439.13,-1081.96,-159.99,67.6288
2018-05-30,4512.55,4005.37,507.18,74.78,67.8201
2018-05-29,4723.83,4426.41,297.42,44.1,67.443
2018-05-28,3013.72,5305.55,-2291.83,-335.75,68.26
2018-05-25,4454.69,5040.23,-585.54,-85.62,68.3872
2018-05-24,4449.88,4704.8,-254.92,-37.37,68.2139
2018-05-23,3161.72,4738.53,-1576.81,-231.82,68.0187
2018-05-22,4854.52,5294.04,-439.52,-64.55,68.0883
2018-05-21,5553.97,5831.95,-277.98,-40.9,67.9577
2018-05-18,4827.34,5592.29,-764.95,-112.97,67.7156
2018-05-17,4917.54,5637.48,-719.94,-106.14,67.8276
2018-05-16,5346.92,5532.49,-185.57,-27.48,67.5288
2018-05-15,4777.71,3955.61,822.1,122.13,67.3153
2018-05-14,3927.34,4257.55,-330.21,-49.12,67.2203
2018-05-11,4806.41,4982.12,-175.71,-26.08,67.3786
2018-05-10,4048.57,4704.8,-656.23,-97.39,67.3815
2018-05-09,5954.84,5590.64,364.2,54.3,67.0809
2018-05-08,3842.06,4460.6,-618.54,-92.17,67.10600000000001
2018-05-07,3428.32,5043.92,-1615.6,-241.97,66.7681
2018-05-04,5692.45,5774.14,-81.69,-12.26,66.6093
2018-05-03,6938.02,7285.56,-347.54,-52.13,66.6636
2018-05-02,8565.77,9473.46,-907.69,-135.93,66.7801
2018-04-27,7356.52,7709.66,-353.14,-52.84,66.8299
2018-04-26,4707.62,4808.75,-101.13,-15.16,66.6983
2018-04-25,4426.75,4988.81,-562.06,-84.7,66.3622
2018-04-24,4070.25,4328.94,-258.69,-39.07,66.2177
2018-04-23,5303.98,5428.27,-124.29,-18.83,66.0167
2018-04-20,4857.16,5503.73,-646.57,-98.29,65.7837
2018-04-19,4095.81,4971.76,-875.95,-133.36,65.6814
2018-04-18,4564.92,5704.25,-1139.33,-173.65,65.6124
2018-04-17,3933.98,4266.96,-332.98,-50.87,65.4476
2018-04-16,4342.75,4713.51,-370.76,-56.85,65.2226
2018-04-13,4721.29,4251.52,469.77,71.88,65.3496
2018-04-12,4816.31,4380.52,435.79,66.91,65.1272
2018-04-11,4203.79,4922.4,-718.61,-110.67,64.9368
2018-04-10,4490.63,5776.22,-1285.59,-198.0,64.9287
2018-04-09,3913.2,4083.35,-170.15,-26.19,64.9884
2018-04-06,4470.47,4650.42,-179.95,-27.66,65.0601
2018-04-05,4493.43,4204.03,289.4,44.51,65.0232
2018-04-04,5478.58,5941.33,-462.75,-71.17,65.024
2018-04-03,14308.47,16038.07,-1729.6,-265.92,65.0441
2018-03-28,6167.6,5109.48,1058.12,163.29,64.7973
2018-03-27,4141.48,4890.71,-749.23,-115.43,64.9055
2018-03-26,7234.23,5569.08,1665.15,255.65,65.1333
2018-03-23,5228.72,5108.9,119.82,18.42,65.0622
2018-03-22,5559.79,5494.35,65.44,10.03,65.2162
2018-03-21,5110.72,4691.88,418.84,64.24,65.1993
2018-03-20,4393.39,3947.1,446.29,68.62,65.0375
2018-03-19,14020.05,14178.76,-158.71,-24.46,64.8737
2018-03-16,4309.58,4942.65,-633.07,-97.49,64.9366
2018-03-15,4114.16,4354.73,-240.57,-37.02,64.9875
2018-03-14,8753.67,4152.41,4601.26,708.36,64.9567
2018-03-13,5339.36,3838.6,1500.76,230.82,65.0199
2018-03-12,4596.43,3982.47,613.96,94.34,65.0784
2018-03-09,5232.74,5634.53,-401.79,-61.89,64.9212
2018-03-08,4856.51,5474.7,-618.19,-95.16,64.9627
2018-03-07,5926.26,5179.1,747.16,114.96,64.9941
2018-03-06,6139.69,6483.58,-343.89,-52.86,65.053
2018-03-05,5578.69,5259.23,319.46,48.98,65.2261
2018-03-01,8749.27,10474.45,-1725.18,-264.99,65.1031
2018-02-28,4390.81,5282.16,-891.35,-137.44,64.8514
2018-02-27,4279.66,5397.33,-1117.67,-172.84,64.6639
2018-02-26,5442.63,5992.46,-549.83,-84.82,64.8227
2018-02-23,7601.75,9972.69,-2370.94,-364.5,65.0458
2018-02-22,5870.51,7094.8,-1224.29,-188.89,64.8161
2018-02-21,3070.3,3802.48,-732.18,-113.47,64.5254
2018-02-20,6523.86,8679.95,-2156.09,-337.37,63.9097
2018-02-16,4377.03,4549.01,-171.98,-26.9,63.9222
2018-02-15,6427.09,7038.89,-611.8,-95.41,64.1259
2018-02-14,4350.72,5172.32,-821.6,-127.81,64.2838
2018-02-12,3631.71,4907.82,-1276.11,-198.25,64.3686
2018-02-09,4453.65,6684.32,-2230.67,-347.66,64.1616
2018-02-08,5884.81,6898.87,-1014.06,-158.11,64.1377
2018-02-07,5908.34,8226.08,-2317.74,-360.62,64.2723
2018-02-06,5875.62,7087.09,-1211.47,-189.2,64.0295
2018-02-05,7977.46,6996.34,981.12,153.11,64.0781
2018-02-02,7713.19,6541.35,1171.84,184.22,63.6113
2018-02-01,7080.1,7344.32,-264.22,-41.49,63.6878
2018-01-31,6178.15,6143.61,34.54,5.42,63.7534
2018-01-30,8539.5,8160.56,378.94,59.63,63.547
2018-01-29,9133.81,7834.94,1298.87,204.56,63.4983
2018-01-25,7822.12,6971.59,850.53,133.64,63.6439
2018-01-24,8374.42,5932.9,2441.52,382.85,63.7722
2018-01-23,6984.84,5377.55,1607.29,251.57,63.8895
2018-01-22,6165.26,5062.18,1103.08,173.12,63.7183
2018-01-19,9015.8,7097.84,1917.96,300.41,63.8431
2018-01-18,7755.28,7093.28,662.0,103.47,63.9797
2018-01-17,8255.06,7477.05,778.01,122.02,63.7602
2018-01-16,5152.89,4998.37,154.52,24.37,63.4125
2018-01-15,5933.46,5937.41,-3.95,-0.62,63.5263
2018-01-12,4991.31,5539.25,-547.94,-85.97,63.7364
2018-01-11,3816.08,4217.09,-401.01,-62.83,63.8264
2018-01-10,4902.59,5050.21,-147.62,-23.26,63.468999999999994
2018-01-09,5652.13,5052.16,599.97,94.71,63.3482
2018-01-08,5806.37,4962.35,844.02,133.16,63.3823
2018-01-05,4643.74,4277.42,366.32,57.79,63.3914
2018-01-04,4543.35,4430.19,113.16,17.83,63.4833
2018-01-03,3166.29,2543.91,622.38,97.75,63.6728
2018-01-02,772.38,439.47,332.91,52.29,63.6697
2018-01-01,3587.06,2957.12,629.94,98.54,63.9273
2017-12-29,5505.49,4561.75,943.74,147.07,64.1716
2017-12-28,2859.9,2513.07,346.83,54.06,64.1577
2017-12-27,3603.43,1984.16,1619.27,252.8,64.0538
2017-12-26,3676.72,3555.68,121.04,18.9,64.0409
2017-12-22,4750.52,5090.03,-339.51,-52.98,64.0883
2017-12-21,4842.78,6274.37,-1431.59,-223.48,64.0577
2017-12-20,6092.39,5949.79,142.6,22.24,64.1205
2017-12-19,4343.84,4527.37,-183.53,-28.63,64.1065
2017-12-18,9270.16,10112.95,-842.79,-131.49,64.0958
2017-12-15,5025.97,4745.42,280.55,43.65,64.2798
2017-12-14,6080.46,5892.73,187.73,29.13,64.4525
2017-12-13,6885.76,6025.2,860.56,133.46,64.4834
2017-12-12,4875.04,5032.75,-157.71,-24.51,64.3616
2017-12-11,6167.15,6796.31,-629.16,-97.59,64.4649
2017-12-08,4503.01,5514.4,-1011.39,-156.71,64.5388
2017-12-07,4837.43,5978.32,-1140.89,-177.03,64.4467
2017-12-06,3736.48,5155.17,-1418.69,-220.37,64.3764
2017-12-05,4011.46,4255.51,-244.05,-37.91,64.3799
2017-12-04,20640.5,21088.53,-448.03,-69.54,64.4332
2017-11-30,4829.0,5481.14,-652.14,-101.25,64.4058
2017-11-29,4353.7,4329.95,23.75,3.69,64.4206
2017-11-28,4101.09,4518.0,-416.91,-64.44,64.6948
2017-11-27,4318.06,4455.34,-137.28,-21.2,64.7328
2017-11-24,4514.04,4296.36,217.68,33.6,64.7949
2017-11-23,4742.31,5002.94,-260.63,-40.25,64.7453
2017-11-22,6044.72,6316.34,-271.62,-41.77,65.0386
2017-11-21,4749.38,4977.81,-228.43,-35.11,65.0565
2017-11-20,6741.15,5395.95,1345.2,207.44,64.8462
2017-11-17,4595.32,4968.8,-373.48,-57.2,65.2969
2017-11-16,5324.66,5722.78,-398.12,-60.9,65.3689
2017-11-15,8069.38,5401.74,2667.64,407.17,65.5171
2017-11-14,4631.19,4768.55,-137.36,-20.99,65.4272
2017-11-13,4713.32,5160.41,-447.09,-68.77,65.0147
2017-11-10,5637.5,6344.78,-707.28,-108.98,64.8967
2017-11-09,12322.35,6536.19,5786.16,889.37,65.0592
2017-11-08,5640.44,4965.06,675.38,104.22,64.8064
2017-11-07,5139.38,4403.05,736.33,113.76,64.7267
2017-11-06,4684.12,4192.71,491.41,76.09,64.5764
2017-11-03,5502.7,4380.05,1122.65,173.81,64.593
2017-11-02,6128.05,5081.3,1046.75,162.22,64.5256
2017-11-01,5982.19,6361.3,-379.11,-58.53,64.7745
2017-10-31,5017.84,5091.82,-73.98,-11.4,64.9338
2017-10-30,6114.49,5929.67,184.82,28.4,65.0931
2017-10-27,10248.12,10204.01,44.11,6.81,64.7888
2017-10-26,14465.53,9708.06,4757.47,730.36,65.1386
2017-10-25,4039.94,5231.43,-1191.49,-183.52,64.9256
2017-10-24,6698.02,6777.74,-79.72,-12.26,65.0239
2017-10-23,4983.42,6210.09,-1226.67,-188.53,65.0649
2017-10-18,4464.13,4758.01,-293.88,-45.27,64.9226
2017-10-17,5413.15,5311.43,101.72,15.71,64.7603
2017-10-16,0.16,0.0,0.16,0.02,65.1003
2017-10-13,4116.68,4685.27,-568.59,-87.34,65.1003
2017-10-12,5519.8,5537.0,-17.2,-2.64,65.2691
2017-10-11,3599.29,4009.8,-410.51,-62.9,65.2652
2017-10-10,2919.84,3359.88,-440.04,-67.38,65.3074
2017-10-09,3661.23,4615.08,-953.85,-146.23,65.2276
2017-10-06,3238.3,3912.73,-674.43,-103.48,65.1758
2017-10-05,3978.08,4486.47,-508.39,-77.87,65.2899
2017-10-04,5873.13,6393.84,-520.71,-79.43,65.5529
2017-10-03,4944.77,6417.86,-1473.09,-225.4,65.3552
2017-09-29,7200.4,12413.59,-5213.19,-792.76,65.7604
2017-09-28,5389.21,6238.16,-848.95,-129.22,65.6947
2017-09-27,3619.79,5462.43,-1842.64,-282.03,65.3371
2017-09-26,5521.81,6702.43,-1180.62,-182.1,64.8357
2017-09-25,4577.71,5707.55,-1129.84,-173.93,64.9596
2017-09-22,4758.33,5934.54,-1176.21,-182.29,64.5256
2017-09-21,6125.75,7197.13,-1071.38,-166.46,64.3637
2017-09-20,3006.31,4654.92,-1648.61,-256.89,64.1769
2017-09-19,3385.13,3468.29,-83.16,-12.99,64.0371
2017-09-18,11782.59,10664.81,1117.78,174.44,64.0774
2017-09-15,3716.46,4951.76,-1235.3,-192.8,64.0692
2017-09-14,3736.18,4498.6,-762.42,-119.16,63.9818
2017-09-13,4014.8,5248.27,-1233.47,-192.89,63.9474
2017-09-12,4040.16,4399.14,-358.98,-56.19,63.8859
2017-09-11,3722.71,3926.4,-203.69,-31.89,63.8664
2017-09-08,5233.65,5498.09,-264.44,-41.3,64.0276
2017-09-07,3058.82,4347.81,-1288.99,-200.73,64.2146
2017-09-06,2712.31,3074.16,-361.85,-56.44,64.1164
2017-09-05,2235.42,3082.73,-847.31,-132.3,64.0468
2017-09-04,3191.9,3938.49,-746.59,-116.7,63.9804
2017-09-01,8415.62,8009.4,406.22,63.45,64.0154
2017-08-31,4222.48,4122.75,99.73,15.59,63.9431
2017-08-30,4711.33,4660.39,50.94,7.95,64.0174
2017-08-29,5987.41,5900.71,86.7,13.57,63.8701
2017-08-28,4283.65,4851.47,-567.82,-88.62,64.0676
2017-08-24,4077.06,5011.92,-934.86,-145.78,64.1272
2017-08-23,3468.64,4192.44,-723.8,-112.9,64.1099
2017-08-22,3693.07,6100.04,-2406.97,-375.93,64.0285
2017-08-21,4988.02,6883.31,-1895.29,-295.66,64.1048
2017-08-18,8957.2,10873.75,-1916.55,-298.33,64.2428
2017-08-16,6575.92,9625.04,-3049.12,-476.24,64.0253
2017-08-14,4131.85,5963.69,-1831.84,-285.47,64.1693
2017-08-11,4395.19,5512.31,-1117.12,-174.7,63.9437
2017-08-10,3249.22,4062.37,-813.15,-127.55,63.7491
2017-08-09,6307.99,4688.4,1619.59,254.1,63.7382
2017-08-08,3808.46,4000.01,-191.55,-30.05,63.7375
2017-08-07,4320.4,5180.11,-859.71,-134.95,63.7091
2017-08-04,5562.17,5509.37,52.8,8.3,63.6314
2017-08-03,4093.21,3538.48,554.73,86.58,64.069
2017-08-02,4576.78,5479.01,-902.23,-140.82,64.0683
2017-08-01,5463.2,6653.29,-1190.09,-185.73,64.0773
2017-07-31,5202.74,5214.27,-11.53,-1.79,64.1483
2017-07-28,9738.51,7303.92,2434.59,379.68,64.1216
2017-07-27,5455.61,5648.55,-192.94,-29.95,64.4208
2017-07-26,5635.52,5314.3,321.22,49.91,64.358
2017-07-25,4803.36,5074.72,-271.36,-42.1,64.4494
2017-07-24,5312.91,5261.35,51.56,8.01,64.3185
2017-07-21,4297.27,4136.89,160.38,24.89,64.4273
2017-07-20,6578.95,5563.54,1015.41,157.87,64.3211
2017-07-19,6642.82,6269.37,373.45,58.05,64.3301
2017-07-18,4564.58,4191.87,372.71,57.9,64.3666
2017-07-17,4306.06,3771.99,534.07,82.86,64.4539
2017-07-14,5289.27,5375.32,-86.05,-13.36,64.4384
2017-07-13,4631.29,4084.63,546.66,84.76,64.4969
2017-07-12,5674.75,5516.09,158.66,24.6,64.5025
2017-07-11,2286.22,2139.3,146.92,22.76,64.5405
2017-07-10,3716.82,4136.98,-420.16,-64.91,64.7342
2017-07-07,4387.51,4223.68,163.83,25.29,64.7779
2017-07-06,3521.13,3271.36,249.77,38.59,64.7209
2017-07-05,3759.08,4514.97,-755.89,-116.62,64.8168
2017-07-04,3526.82,4241.16,-714.34,-110.31,64.7525
2017-07-03,4490.02,4378.89,111.13,17.17,64.7379
2017-06-30,6809.69,7634.23,-824.54,-127.89,64.4715
2017-06-29,5194.84,5566.57,-371.73,-57.6,64.5288
2017-06-28,7272.13,6887.36,384.77,59.69,64.4572
2017-06-27,4892.32,4569.92,322.4,49.96,64.5365
2017-06-23,6354.56,6128.54,226.02,35.05,64.495
2017-06-22,4834.19,4912.33,-78.14,-12.1,64.6025
2017-06-21,4312.03,4606.9,-294.87,-45.74,64.4672
2017-06-20,3885.68,4058.44,-172.76,-26.84,64.3788
2017-06-19,7950.69,8688.5,-737.81,-114.23,64.5883
2017-06-16,5018.57,5623.77,-605.2,-94.15,64.2801
2017-06-15,6697.28,6733.7,-36.42,-5.66,64.3141
2017-06-14,3947.95,4256.5,-308.55,-47.88,64.4453
2017-06-13,3340.03,3432.38,-92.35,-14.35,64.3407
2017-06-12,4044.54,4113.42,-68.88,-10.72,64.2584
2017-06-09,5906.79,3829.34,2077.45,322.81,64.3554
2017-06-08,5117.61,5029.81,87.8,13.62,64.4538
2017-06-07,4093.6,4156.89,-63.29,-9.84,64.3516
2017-06-06,4279.28,3779.41,499.87,77.68,64.3485
2017-06-05,4534.75,4279.4,255.35,39.64,64.4208
2017-06-02,4545.11,4968.33,-423.22,-65.65,64.4704
2017-06-01,16710.72,15580.49,1130.23,175.1,64.5459
2017-05-31,3412.83,3591.97,-179.14,-27.72,64.6336
2017-05-30,3952.28,4564.51,-612.23,-94.84,64.5565
2017-05-29,4489.5,4736.03,-246.53,-38.17,64.5945
2017-05-26,9157.66,8391.97,765.69,118.7,64.5088
2017-05-25,5948.83,5591.42,357.41,55.11,64.8586
2017-05-24,5779.65,6123.21,-343.56,-53.04,64.7751
2017-05-23,5354.05,4465.52,888.53,137.62,64.5632
2017-05-22,4712.25,5596.38,-884.13,-136.04,64.9906
2017-05-19,5751.17,5610.17,141.0,21.91,64.3441
2017-05-18,6308.52,5147.89,1160.63,181.29,64.0214
2017-05-17,5541.76,4724.45,817.31,127.55,64.0758
2017-05-16,4729.96,4346.06,383.9,59.87,64.1188
2017-05-15,4780.85,3866.47,914.38,142.2,64.3043
2017-05-12,5103.75,3677.16,1426.59,221.39,64.438
2017-05-11,9650.88,8351.51,1299.37,201.44,64.5065
2017-05-09,3354.63,3945.49,-590.86,-92.01,64.2154
2017-05-08,4794.22,5185.66,-391.44,-60.87,64.3079
2017-05-05,5753.0,6162.6,-409.6,-63.79,64.2115
2017-05-04,4033.05,4125.92,-92.87,-14.48,64.1439
2017-05-03,5543.29,6013.26,-469.97,-73.19,64.2072
2017-05-02,4588.26,5715.5,-1127.24,-175.54,64.217
2017-04-28,6397.38,6369.32,28.06,4.37,64.1141
2017-04-27,5425.25,5465.93,-40.68,-6.35,64.0013
2017-04-26,5644.64,5332.88,311.76,48.5,64.2776
2017-04-25,4016.74,4276.01,-259.27,-40.21,64.4757
2017-04-24,5246.3,3987.13,1259.17,195.01,64.5701
2017-04-21,3964.1,4054.59,-90.49,-14.0,64.6364
2017-04-20,3772.18,4401.32,-629.14,-97.47,64.5443
2017-04-19,3486.28,4320.53,-834.25,-129.21,64.5657
2017-04-18,1960.27,2020.73,-60.46,-9.39,64.4053
2017-04-17,3227.08,3545.08,-318.0,-49.44,64.3165
2017-04-13,4116.93,4614.77,-497.84,-76.96,64.692
2017-04-12,4645.72,5371.1,-725.38,-112.39,64.5438
2017-04-11,3767.12,4409.37,-642.25,-99.66,64.4418
2017-04-10,5089.45,5341.28,-251.83,-39.11,64.3928
2017-04-07,5166.17,4889.73,276.44,42.54,64.9791
2017-04-06,7833.74,7398.66,435.08,66.89,65.0438
2017-04-05,3585.71,2999.16,586.55,90.36,64.9103
2017-04-03,5386.21,5579.0,-192.79,-29.74,64.8386
2017-03-31,12105.64,11789.72,315.92,48.66,64.9325
2017-03-30,9090.18,8672.64,417.54,64.28,64.9552
2017-03-29,20957.23,13763.87,7193.36,1105.15,65.0892
2017-03-27,5358.13,4700.68,657.45,100.44,65.4581
2017-03-24,5973.9,4877.14,1096.76,167.64,65.422
2017-03-23,6619.67,6403.39,216.28,33.03,65.4881
2017-03-22,8572.84,6950.99,1621.85,248.32,65.3117
2017-03-21,4934.71,4829.45,105.26,16.1,65.3827
2017-03-20,11444.88,9811.7,1633.18,249.18,65.5411
2017-03-17,5609.33,4187.25,1422.08,217.5,65.3836
2017-03-16,5985.75,4647.02,1338.73,204.34,65.5146
2017-03-15,10223.49,5927.6,4295.89,644.18,66.18
2017-03-14,4705.33,4227.11,478.22,71.62,66.688
2017-03-10,4335.07,3855.46,479.61,71.83,66.7707
2017-03-09,7521.29,3883.95,3637.34,545.85,66.6362
2017-03-08,4852.37,3835.12,1017.25,152.66,66.6347
2017-03-07,4349.98,3771.79,578.19,86.61,66.7559
2017-03-06,5308.41,3700.04,1608.37,240.65,66.8354
2017-03-03,5034.59,4849.46,185.13,27.73,66.7433
2017-03-02,5234.69,5239.47,-4.78,-0.71,66.8482
2017-03-01,9315.96,8129.22,1186.74,177.82,66.7375
2017-02-27,9746.53,9043.64,702.89,105.17,66.8351
2017-02-23,6168.13,6190.75,-22.62,-3.38,66.9644
2017-02-22,7038.02,8989.05,-1951.03,-291.3,66.9771
2017-02-20,13273.05,5214.93,8058.12,1201.87,67.0467
2017-02-17,5055.55,5281.33,-225.78,-33.74,66.9468
2017-02-16,5550.27,5296.77,253.5,37.89,66.9193
2017-02-15,4397.21,4412.29,-15.08,-2.25,66.9439
2017-02-14,3875.96,3575.02,300.94,44.94,66.9663
2017-02-13,4951.25,4397.41,553.84,82.74,66.9367
2017-02-10,4791.98,4365.34,426.64,63.67,67.0123
2017-02-09,4468.13,4656.66,-188.53,-28.01,67.3058
2017-02-08,4393.21,4123.38,269.83,40.05,67.3692
2017-02-07,4125.35,4475.43,-350.08,-52.1,67.1958
2017-02-06,5351.41,4772.35,579.06,85.94,67.3825
2017-02-03,5652.74,5193.2,459.54,68.13,67.44800000000001
2017-02-02,5446.01,5401.28,44.73,6.61,67.6458
2017-02-01,4646.64,5090.83,-444.19,-65.5,67.8125
2017-01-31,3251.17,2600.98,650.19,95.56,68.0426
2017-01-30,5850.9,5626.91,223.99,32.84,68.2043
2017-01-27,8879.8,7598.97,1280.83,187.93,68.1556
2017-01-25,5061.8,4969.48,92.32,13.55,68.157
2017-01-24,4305.29,4575.95,-270.66,-39.75,68.0843
2017-01-23,4540.34,4507.78,32.56,4.78,68.0883
2017-01-20,4099.83,3852.75,247.08,36.24,68.1766
2017-01-19,4139.49,3802.91,336.58,49.54,67.9364
2017-01-18,3461.08,3285.83,175.25,25.75,68.0509
2017-01-17,2387.39,2725.85,-338.46,-49.66,68.1558
2017-01-16,3237.72,3341.02,-103.3,-15.14,68.23100000000001
2017-01-13,3314.48,3317.46,-2.98,-0.44,68.0858
2017-01-12,3934.44,4612.64,-678.2,-99.41,68.2276
2017-01-11,3597.89,3703.5,-105.61,-15.51,68.0641
2017-01-10,2202.62,2588.1,-385.48,-56.53,68.1863
2017-01-09,3510.82,3827.44,-316.62,-46.59,67.9522
2017-01-06,4542.58,4581.72,-39.14,-5.77,67.7884
2017-01-05,3534.18,4226.17,-691.99,-101.5,68.1791
2017-01-04,1863.97,2400.72,-536.75,-78.84,68.0864
2017-01-03,867.26,1185.97,-318.71,-46.85,68.0225
2017-01-02,2230.64,2796.67,-566.03,-83.29,67.9547
