,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
0,2019-12-31,75.4,80.3,75.4,79.25,78.55,754580.0,6869.0,59273525.0,148035.0,19.62,4.9,3.85,BOM500020
1,2019-12-30,74.65,74.95,73.8,74.45,74.35,103705.0,720.0,7710245.0,44984.0,43.38,1.15,-0.2,BOM500020
2,2019-12-27,73.0,74.85,73.0,74.05,74.06,126399.0,857.0,9360670.0,65715.0,51.99,1.85,1.05,BOM500020
3,2019-12-26,73.35,74.7,73.05,73.65,73.91,143332.0,1222.0,10593794.0,33402.0,23.3,1.65,0.3,BOM500020
4,2019-12-24,74.1,74.4,73.0,73.25,73.55,57555.0,523.0,4233027.0,24471.0,42.52,1.4,-0.85,BOM500020
5,2019-12-23,74.0,74.8,73.3,74.0,74.1,85882.0,811.0,6364043.0,46379.0,54.0,1.5,0.0,BOM500020
6,2019-12-20,74.2,76.0,74.1,74.45,74.99,132731.0,1305.0,9953858.0,36334.0,27.37,1.9,0.25,BOM500020
7,2019-12-19,74.55,75.4,73.7,74.1,74.33,76460.0,870.0,5683360.0,18923.0,24.75,1.7,-0.45,BOM500020
8,2019-12-18,76.95,77.35,74.55,75.1,75.58,111058.0,1007.0,8393675.0,33194.0,29.89,2.8,-1.85,BOM500020
9,2019-12-17,74.0,77.3,74.0,76.95,76.18,237166.0,1556.0,18066592.0,92733.0,39.1,3.3,2.95,BOM500020
10,2019-12-16,75.0,75.8,74.25,75.25,75.17,159463.0,1236.0,11986494.0,47487.0,29.78,1.55,0.25,BOM500020
11,2019-12-13,73.4,75.3,72.9,74.4,74.23,231886.0,2080.0,17213402.0,70348.0,30.34,2.4,1.0,BOM500020
12,2019-12-12,72.1,73.6,71.85,72.7,72.77,91020.0,973.0,6623643.0,31713.0,34.84,1.75,0.6,BOM500020
13,2019-12-11,72.15,73.4,70.3,71.55,71.75,120822.0,1077.0,8669483.0,50914.0,42.14,3.1,-0.6,BOM500020
14,2019-12-10,73.25,73.3,71.5,71.9,72.18,93771.0,865.0,6768092.0,35030.0,37.36,1.8,-1.35,BOM500020
15,2019-12-09,76.45,76.45,72.4,72.75,73.79,150026.0,1641.0,11070913.0,65380.0,43.58,4.05,-3.7,BOM500020
16,2019-12-06,77.8,78.2,74.0,74.65,75.71,215486.0,1720.0,16313907.0,113962.0,52.89,4.2,-3.15,BOM500020
17,2019-12-05,79.05,79.4,77.1,77.5,77.97,135065.0,1340.0,10530964.0,51609.0,38.21,2.3,-1.55,BOM500020
18,2019-12-04,78.65,79.0,76.75,78.45,78.09,137240.0,1561.0,10716556.0,44342.0,32.31,2.25,-0.2,BOM500020
19,2019-12-03,81.1,81.2,78.3,78.7,79.41,184395.0,1921.0,14643458.0,66625.0,36.13,2.9,-2.4,BOM500020
20,2019-12-02,82.45,83.3,79.5,80.7,81.33,351859.0,2912.0,28615661.0,82510.0,23.45,3.8,-1.75,BOM500020
21,2019-11-29,79.0,83.35,78.3,82.3,81.66,659588.0,6751.0,53863841.0,171319.0,25.97,5.05,3.3,BOM500020
22,2019-11-28,79.45,79.9,78.25,78.55,78.86,193687.0,1698.0,15274524.0,71910.0,37.13,1.65,-0.9,BOM500020
23,2019-11-27,78.6,79.65,77.35,78.95,78.54,273331.0,1903.0,21466246.0,81221.0,29.72,2.3,0.35,BOM500020
24,2019-11-26,77.75,81.05,77.2,78.2,79.12,391617.0,3360.0,30983290.0,79726.0,20.36,3.85,0.45,BOM500020
25,2019-11-25,76.3,77.8,76.1,77.05,76.99,216256.0,1606.0,16648710.0,75942.0,35.12,1.7,0.75,BOM500020
26,2019-11-22,76.9,77.55,75.3,75.7,76.15,160062.0,1468.0,12188044.0,55145.0,34.45,2.25,-1.2,BOM500020
27,2019-11-21,78.8,79.2,76.25,76.65,77.45,282787.0,2762.0,21901508.0,98919.0,34.98,2.95,-2.15,BOM500020
28,2019-11-20,78.2,80.65,77.55,78.45,79.03,320404.0,3075.0,25322316.0,73183.0,22.84,3.1,0.25,BOM500020
29,2019-11-19,79.75,80.0,77.6,77.95,78.51,127953.0,1728.0,10046005.0,52842.0,41.3,2.4,-1.8,BOM500020
30,2019-11-18,79.2,80.9,78.65,79.2,79.36,266495.0,2390.0,21148161.0,110421.0,41.43,2.25,0.0,BOM500020
31,2019-11-15,81.45,82.35,78.15,79.0,79.64,256668.0,2367.0,20441925.0,90892.0,35.41,4.2,-2.45,BOM500020
32,2019-11-14,82.5,84.15,80.25,80.7,82.17,304802.0,2631.0,25046366.0,79409.0,26.05,3.9,-1.8,BOM500020
33,2019-11-13,88.5,88.5,82.1,82.75,85.01,667160.0,5332.0,56713255.0,237678.0,35.63,6.4,-5.75,BOM500020
34,2019-11-11,91.25,94.05,89.9,91.05,91.94,699929.0,6072.0,64349177.0,138024.0,19.72,4.15,-0.2,BOM500020
35,2019-11-08,85.0,97.6,84.5,91.0,92.1,2144379.0,15088.0,197489412.0,325103.0,15.16,13.1,6.0,BOM500020
36,2019-11-07,84.95,87.4,84.95,85.4,86.14,416531.0,3376.0,35881428.0,109167.0,26.21,2.45,0.45,BOM500020
37,2019-11-06,83.5,85.5,83.15,83.75,84.22,330979.0,2366.0,27875674.0,91197.0,27.55,2.35,0.25,BOM500020
38,2019-11-05,85.0,86.0,82.5,83.15,84.11,280964.0,2549.0,23632575.0,44375.0,15.79,3.5,-1.85,BOM500020
39,2019-11-04,86.5,87.15,84.0,84.55,85.33,276352.0,2063.0,23581125.0,96577.0,34.95,3.15,-1.95,BOM500020
40,2019-11-01,82.0,87.5,80.5,85.6,84.76,840883.0,6476.0,71274621.0,153886.0,18.3,7.0,3.6,BOM500020
41,2019-10-31,81.75,84.0,80.3,81.35,82.4,436672.0,3566.0,35980400.0,99785.0,22.85,3.7,-0.4,BOM500020
42,2019-10-30,81.0,82.7,80.1,81.2,81.36,290254.0,2388.0,23614122.0,56028.0,19.3,2.6,0.2,BOM500020
43,2019-10-29,79.0,81.8,78.2,80.35,80.26,380540.0,3447.0,30541437.0,80793.0,21.23,3.6,1.35,BOM500020
44,2019-10-27,78.75,79.0,78.0,78.65,78.53,22040.0,246.0,1730753.0,14325.0,65.0,1.0,-0.1,BOM500020
45,2019-10-25,79.0,79.55,76.4,77.6,77.96,223353.0,1576.0,17413137.0,82654.0,37.01,3.15,-1.4,BOM500020
46,2019-10-24,79.5,81.2,77.55,78.5,79.22,242920.0,2137.0,19244923.0,58791.0,24.2,3.65,-1.0,BOM500020
47,2019-10-23,78.9,81.8,76.8,79.05,79.61,447171.0,3946.0,35598549.0,62517.0,13.98,5.0,0.15,BOM500020
48,2019-10-22,77.85,81.55,76.75,78.75,79.55,393087.0,3708.0,31269431.0,103113.0,26.23,4.8,0.9,BOM500020
49,2019-10-18,75.6,79.85,74.6,77.3,77.89,397544.0,3312.0,30965175.0,105021.0,26.42,5.25,1.7,BOM500020
50,2019-10-17,72.0,77.8,71.4,75.7,75.08,568362.0,4188.0,42670016.0,128741.0,22.65,6.4,3.7,BOM500020
51,2019-10-16,71.55,73.25,71.0,71.9,72.09,257038.0,2402.0,18528946.0,93098.0,36.22,2.25,0.35,BOM500020
52,2019-10-15,70.75,73.5,67.3,71.1,71.28,256577.0,2396.0,18289260.0,81013.0,31.57,6.2,0.35,BOM500020
53,2019-10-14,71.45,72.9,70.0,70.4,71.29,202568.0,2602.0,14440061.0,74673.0,36.86,2.9,-1.05,BOM500020
54,2019-10-11,69.3,72.6,69.0,70.8,71.16,229079.0,2560.0,16300357.0,63135.0,27.56,3.6,1.5,BOM500020
55,2019-10-10,70.05,70.75,68.1,68.8,69.24,151393.0,1469.0,10481846.0,55782.0,36.85,2.65,-1.25,BOM500020
56,2019-10-09,68.85,72.45,68.0,70.5,70.27,296793.0,2874.0,20855621.0,91974.0,30.99,4.45,1.65,BOM500020
