,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
0,2019-12-31,96.0,99.85,96.0,97.75,97.45,51.0,27.0,4970.0,32.0,62.74,3.85,1.75,BOM500023
1,2019-12-30,102.8,102.95,95.2,102.95,99.26,412.0,6.0,40895.0,36.0,8.74,7.75,0.15,BOM500023
2,2019-12-27,99.2,104.45,93.1,102.75,95.78,153.0,8.0,14655.0,111.0,72.55,11.35,3.55,BOM500023
3,2019-12-24,99.0,99.0,99.0,99.0,99.0,4.0,4.0,396.0,4.0,100.0,0.0,0.0,BOM500023
4,2019-12-23,92.05,100.0,92.05,96.0,94.84,340.0,27.0,32244.0,257.0,75.59,7.95,3.95,BOM500023
5,2019-12-20,100.0,100.0,97.4,97.4,98.0,4.0,2.0,392.0,4.0,100.0,2.6,-2.6,BOM500023
6,2019-12-19,101.0,101.0,98.0,98.0,99.5,100.0,2.0,9950.0,,0.0,3.0,-3.0,BOM500023
7,2019-12-18,95.05,95.05,95.05,95.05,95.05,250.0,200.0,23762.0,250.0,100.0,0.0,0.0,BOM500023
8,2019-12-17,94.0,103.0,94.0,95.1,97.84,2958.0,66.0,289420.0,1614.0,54.56,9.0,1.1,BOM500023
9,2019-12-16,95.05,95.05,95.0,95.05,95.03,75.0,2.0,7127.0,75.0,100.0,0.05,0.0,BOM500023
10,2019-12-10,100.05,100.05,100.05,100.05,100.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,BOM500023
11,2019-12-09,99.15,101.25,99.15,101.25,101.12,255.0,8.0,25785.0,251.0,98.43,2.1,2.1,BOM500023
12,2019-12-06,98.7,101.85,96.0,100.0,98.95,861.0,8.0,85196.0,55.0,6.39,5.85,1.3,BOM500023
13,2019-12-05,103.0,107.0,95.0,97.9,98.26,413.0,41.0,40580.0,300.0,72.64,12.0,-5.1,BOM500023
14,2019-12-02,101.0,101.0,101.0,101.0,101.0,50.0,1.0,5050.0,50.0,100.0,0.0,0.0,BOM500023
15,2019-11-29,97.0,105.05,96.5,103.25,104.14,1143.0,42.0,119036.0,1031.0,90.2,8.55,6.25,BOM500023
16,2019-11-28,101.0,101.0,101.0,101.0,101.0,10.0,10.0,1010.0,10.0,100.0,0.0,0.0,BOM500023
17,2019-11-27,101.0,101.0,101.0,101.0,101.0,20.0,1.0,2020.0,20.0,100.0,0.0,0.0,BOM500023
18,2019-11-26,101.0,101.0,100.0,100.0,100.99,159.0,4.0,16057.0,159.0,100.0,1.0,-1.0,BOM500023
19,2019-11-25,100.55,101.3,99.0,99.0,99.02,506.0,7.0,50104.0,505.0,99.8,2.3,-1.55,BOM500023
20,2019-11-22,100.0,102.65,98.2,98.2,100.35,26.0,5.0,2609.0,12.0,46.15,4.45,-1.8,BOM500023
21,2019-11-20,96.85,99.75,96.85,99.75,98.36,94.0,4.0,9246.0,94.0,100.0,2.9,2.9,BOM500023
22,2019-11-19,95.0,95.0,95.0,95.0,95.0,35.0,1.0,3325.0,35.0,100.0,0.0,0.0,BOM500023
23,2019-11-18,95.0,95.0,95.0,95.0,95.0,110.0,3.0,10450.0,110.0,100.0,0.0,0.0,BOM500023
24,2019-11-14,100.0,100.0,93.0,93.6,94.21,569.0,29.0,53608.0,495.0,86.99,7.0,-6.4,BOM500023
25,2019-11-11,100.0,100.1,100.0,100.1,100.02,310.0,69.0,31006.0,310.0,100.0,0.1,0.1,BOM500023
26,2019-11-08,100.0,102.3,100.0,100.1,101.42,325.0,12.0,32962.0,325.0,100.0,2.3,0.1,BOM500023
27,2019-11-07,101.45,101.45,100.0,100.0,100.88,8.0,5.0,807.0,8.0,100.0,1.45,-1.45,BOM500023
28,2019-11-06,105.3,105.3,100.0,100.0,100.05,101.0,3.0,10105.0,100.0,99.01,5.3,-5.3,BOM500023
29,2019-11-05,103.0,103.0,101.65,101.65,102.58,12.0,10.0,1231.0,12.0,100.0,1.35,-1.35,BOM500023
