,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
0,2019-12-31,1.28,1.34,1.28,1.34,1.33,1710.0,8.0,2279.0,1710.0,100.0,0.06,0.06,BOM500014
1,2019-12-30,1.35,1.35,1.29,1.29,1.29,1231.0,11.0,1591.0,1231.0,100.0,0.06,-0.06,BOM500014
2,2019-12-27,1.35,1.35,1.35,1.35,1.35,4049.0,14.0,5466.0,4049.0,100.0,0.0,0.0,BOM500014
3,2019-12-26,1.24,1.36,1.24,1.35,1.31,6041.0,24.0,7924.0,4499.0,74.47,0.12,0.11,BOM500014
4,2019-12-24,1.3,1.3,1.21,1.3,1.29,1339.0,20.0,1731.0,1258.0,93.95,0.09,0.0,BOM500014
5,2019-12-23,1.24,1.3,1.24,1.25,1.28,8893.0,22.0,11342.0,8893.0,100.0,0.06,0.01,BOM500014
6,2019-12-20,1.24,1.24,1.24,1.24,1.24,3018.0,15.0,3742.0,3018.0,100.0,0.0,0.0,BOM500014
7,2019-12-19,1.19,1.19,1.15,1.19,1.17,4777.0,23.0,5606.0,3877.0,81.16,0.04,0.0,BOM500014
8,2019-12-18,1.14,1.14,1.13,1.14,1.14,20770.0,24.0,23623.0,14770.0,71.11,0.01,0.0,BOM500014
9,2019-12-17,1.01,1.09,1.01,1.09,1.01,1372.0,8.0,1388.0,1343.0,97.89,0.08,0.08,BOM500014
10,2019-12-16,1.03,1.08,1.03,1.04,1.07,2462.0,13.0,2640.0,2338.0,94.96,0.05,0.01,BOM500014
11,2019-12-13,0.95,1.03,0.95,1.03,0.99,708.0,5.0,700.0,479.0,67.66,0.08,0.08,BOM500014
12,2019-12-12,0.99,0.99,0.99,0.99,0.99,550.0,5.0,544.0,550.0,100.0,0.0,0.0,BOM500014
13,2019-12-11,1.04,1.04,0.99,0.99,1.04,4387.0,14.0,4550.0,4387.0,100.0,0.05,-0.05,BOM500014
14,2019-12-10,1.04,1.04,1.04,1.04,1.04,3360.0,5.0,3494.0,3360.0,100.0,0.0,0.0,BOM500014
15,2019-12-09,1.09,1.09,1.04,1.04,1.04,3301.0,15.0,3442.0,3301.0,100.0,0.05,-0.05,BOM500014
16,2019-12-06,1.04,1.04,1.04,1.04,1.04,5042.0,12.0,5243.0,4579.0,90.82,0.0,0.0,BOM500014
17,2019-12-05,1.13,1.17,1.09,1.09,1.09,1142.0,9.0,1249.0,1134.0,99.3,0.08,-0.04,BOM500014
18,2019-12-04,1.17,1.17,1.13,1.13,1.16,3225.0,9.0,3754.0,3225.0,100.0,0.04,-0.04,BOM500014
19,2019-12-03,1.17,1.17,1.17,1.17,1.17,5820.0,4.0,6809.0,5820.0,100.0,0.0,0.0,BOM500014
20,2019-12-02,1.06,1.12,1.06,1.12,1.12,32134.0,15.0,35912.0,30484.0,94.87,0.06,0.06,BOM500014
21,2019-11-29,1.11,1.11,1.06,1.07,1.09,8725.0,21.0,9552.0,7518.0,86.17,0.05,-0.04,BOM500014
22,2019-11-28,1.06,1.11,1.01,1.11,1.09,14077.0,29.0,15321.0,12877.0,91.48,0.1,0.05,BOM500014
23,2019-11-27,1.11,1.11,1.06,1.06,1.06,2239.0,11.0,2375.0,2239.0,100.0,0.05,-0.05,BOM500014
24,2019-11-26,1.08,1.11,1.06,1.11,1.1,619.0,8.0,681.0,619.0,100.0,0.05,0.03,BOM500014
25,2019-11-25,1.2,1.2,1.11,1.11,1.15,1267.0,15.0,1458.0,1147.0,90.53,0.09,-0.09,BOM500014
26,2019-11-22,1.2,1.26,1.15,1.15,1.2,5809.0,15.0,6960.0,5738.0,98.78,0.11,-0.05,BOM500014
27,2019-11-21,1.16,1.2,1.15,1.2,1.16,2836.0,12.0,3286.0,2836.0,100.0,0.05,0.04,BOM500014
28,2019-11-20,1.2,1.2,1.16,1.16,1.19,3183.0,15.0,3790.0,3183.0,100.0,0.04,-0.04,BOM500014
29,2019-11-19,1.15,1.19,1.15,1.15,1.16,3073.0,13.0,3554.0,2622.0,85.32,0.04,0.0,BOM500014
30,2019-11-18,1.15,1.16,1.15,1.15,1.15,17780.0,14.0,20449.0,12780.0,71.88,0.01,0.0,BOM500014
31,2019-11-15,1.2,1.2,1.16,1.16,1.19,6995.0,11.0,8332.0,5995.0,85.7,0.04,-0.04,BOM500014
32,2019-11-14,1.15,1.2,1.15,1.15,1.15,2596.0,9.0,2988.0,2596.0,100.0,0.05,0.0,BOM500014
33,2019-11-13,1.19,1.19,1.15,1.15,1.16,18475.0,21.0,21371.0,14072.0,76.17,0.04,-0.04,BOM500014
34,2019-11-11,1.2,1.2,1.14,1.15,1.16,12739.0,16.0,14764.0,8739.0,68.6,0.06,-0.05,BOM500014
35,2019-11-08,1.15,1.26,1.15,1.2,1.15,8469.0,12.0,9739.0,8468.0,99.99,0.11,0.05,BOM500014
36,2019-11-07,1.11,1.2,1.11,1.2,1.18,15070.0,12.0,17721.0,11170.0,74.12,0.09,0.09,BOM500014
37,2019-11-06,1.05,1.15,1.05,1.15,1.14,31588.0,15.0,36071.0,29588.0,93.67,0.1,0.1,BOM500014
38,2019-11-05,1.2,1.2,1.1,1.1,1.13,65147.0,24.0,73566.0,61547.0,94.47,0.1,-0.1,BOM500014
39,2019-11-04,1.16,1.2,1.15,1.15,1.16,13571.0,21.0,15703.0,13571.0,100.0,0.05,-0.01,BOM500014
40,2019-11-01,1.1,1.15,1.05,1.15,1.15,30559.0,23.0,35005.0,29559.0,96.73,0.1,0.05,BOM500014
41,2019-10-31,1.07,1.1,1.07,1.1,1.08,5713.0,11.0,6180.0,5713.0,100.0,0.03,0.03,BOM500014
42,2019-10-30,0.96,1.06,0.96,1.06,1.03,8772.0,23.0,9031.0,6772.0,77.2,0.1,0.1,BOM500014
43,2019-10-29,1.01,1.02,1.0,1.01,1.0,6208.0,17.0,6234.0,6208.0,100.0,0.02,0.0,BOM500014
44,2019-10-27,1.01,1.01,1.01,1.01,1.01,2228.0,2.0,2250.0,2228.0,100.0,0.0,0.0,BOM500014
45,2019-10-25,0.88,0.92,0.86,0.92,0.91,8851.0,12.0,8078.0,8836.0,99.83,0.06,0.04,BOM500014
46,2019-10-24,0.84,0.86,0.84,0.84,0.85,4523.0,12.0,3830.0,4523.0,100.0,0.02,0.0,BOM500014
47,2019-10-23,0.82,0.84,0.82,0.84,0.84,9468.0,14.0,7932.0,9468.0,100.0,0.02,0.02,BOM500014
48,2019-10-22,0.75,0.83,0.75,0.77,0.78,3936.0,15.0,3061.0,3936.0,100.0,0.08,0.02,BOM500014
49,2019-10-18,0.92,0.92,0.83,0.83,0.89,14045.0,12.0,12557.0,10010.0,71.27,0.09,-0.09,BOM500014
50,2019-10-17,0.92,0.92,0.92,0.92,0.92,700.0,4.0,644.0,700.0,100.0,0.0,0.0,BOM500014
51,2019-10-16,0.92,0.92,0.83,0.92,0.83,11608.0,13.0,9658.0,11608.0,100.0,0.09,0.0,BOM500014
52,2019-10-15,0.92,0.92,0.85,0.92,0.92,2970.0,19.0,2726.0,2969.0,99.97,0.07,0.0,BOM500014
53,2019-10-14,0.96,0.96,0.81,0.85,0.91,5978.0,18.0,5469.0,5978.0,100.0,0.15,-0.11,BOM500014
54,2019-10-11,0.98,0.98,0.82,0.89,0.9,11501.0,44.0,10383.0,9392.0,81.66,0.16,-0.09,BOM500014
55,2019-10-10,1.0,1.0,0.84,0.9,0.87,40140.0,101.0,35064.0,31892.0,79.45,0.16,-0.1,BOM500014
56,2019-10-09,0.99,0.99,0.84,0.93,0.91,17864.0,50.0,16186.0,16067.0,89.94,0.15,-0.06,BOM500014
57,2019-10-07,0.99,0.99,0.91,0.91,0.94,18779.0,55.0,17628.0,11372.0,60.56,0.08,-0.08,BOM500014
