Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
2017-03-27,1462.0,1479.0,1457.0,1474.8,1464.53,251300.0,2041.0,368037089.0,67391.0,26.82,22.0,12.8,BOM500010
2017-03-24,1456.0,1467.7,1455.75,1462.05,1459.02,414614.0,2425.0,604929914.0,375580.0,90.59,11.95,6.05,BOM500010
2017-03-23,1445.0,1460.0,1440.0,1456.0,1446.06,371741.0,2539.0,537558725.0,329224.0,88.56,20.0,11.0,BOM500010
2017-03-22,1450.0,1454.95,1435.0,1442.4,1441.53,89042.0,2771.0,128356769.0,52473.0,58.93,19.95,-7.6,BOM500010
2017-03-21,1450.15,1472.45,1449.5,1458.05,1457.62,161840.0,4056.0,235901303.0,110305.0,68.16,22.95,7.9,BOM500010
2017-03-20,1450.75,1464.9,1447.0,1458.45,1458.96,93304.0,4556.0,136126416.0,43700.0,46.84,17.9,7.7,BOM500010
2017-03-17,1460.0,1461.55,1440.0,1450.75,1449.5,194029.0,3746.0,281244999.0,135336.0,69.75,21.55,-9.25,BOM500010
2017-03-16,1430.1,1454.65,1430.1,1449.7,1442.18,463089.0,3035.0,667859687.0,431493.0,93.18,24.55,19.6,BOM500010
2017-03-15,1427.1,1435.0,1416.35,1428.75,1427.27,88326.0,2656.0,126064964.0,51533.0,58.34,18.65,1.65,BOM500010
2017-03-14,1410.0,1429.0,1410.0,1423.05,1418.86,730187.0,7381.0,1036032137.0,631131.0,86.43,19.0,13.05,BOM500010
2017-03-10,1372.1,1383.35,1369.0,1372.5,1375.91,140728.0,1303.0,193628840.0,117360.0,83.39,14.35,0.4,BOM500010
2017-03-09,1376.85,1382.0,1364.45,1371.25,1372.49,31078.0,1159.0,42654156.0,12282.0,39.52,17.55,-5.6,BOM500010
2017-03-08,1366.0,1376.5,1361.0,1367.3,1367.96,59080.0,1377.0,80819101.0,35512.0,60.11,15.5,1.3,BOM500010
2017-03-07,1371.75,1372.9,1362.7,1365.1,1366.02,48270.0,1320.0,65937918.0,32865.0,68.09,10.2,-6.65,BOM500010
