,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
0,2019-12-31,5.04,5.05,5.03,5.05,5.05,8239.0,49.0,41583.0,7239.0,87.86,0.02,0.01,BOM500013
1,2019-12-30,4.81,4.81,4.81,4.81,4.81,100.0,1.0,481.0,100.0,100.0,0.0,0.0,BOM500013
2,2019-12-27,4.78,4.95,4.78,4.82,4.83,500.0,5.0,2415.0,300.0,60.0,0.17,0.04,BOM500013
3,2019-12-26,4.76,4.98,4.76,4.95,4.93,557.0,10.0,2747.0,501.0,89.95,0.22,0.19,BOM500013
4,2019-12-24,4.61,4.84,4.61,4.83,4.77,8923.0,30.0,42551.0,6849.0,76.76,0.23,0.22,BOM500013
5,2019-12-23,4.76,4.76,4.61,4.61,4.7,3891.0,12.0,18270.0,3800.0,97.66,0.15,-0.15,BOM500013
6,2019-12-20,4.56,4.76,4.45,4.76,4.71,3425.0,8.0,16147.0,3095.0,90.36,0.31,0.2,BOM500013
7,2019-12-19,4.45,4.69,4.45,4.54,4.56,1871.0,6.0,8537.0,1780.0,95.14,0.24,0.09,BOM500013
8,2019-12-18,4.88,4.88,4.45,4.65,4.72,5075.0,11.0,23957.0,4995.0,98.42,0.43,-0.23,BOM500013
9,2019-12-17,4.66,4.66,4.66,4.66,4.66,900.0,1.0,4194.0,900.0,100.0,0.0,0.0,BOM500013
10,2019-12-16,4.43,4.67,4.41,4.55,4.52,2211.0,11.0,9984.0,1712.0,77.43,0.26,0.12,BOM500013
11,2019-12-13,4.29,4.64,4.28,4.51,4.48,6709.0,17.0,30065.0,5818.0,86.72,0.36,0.22,BOM500013
12,2019-12-12,4.42,4.51,4.32,4.44,4.48,3760.0,14.0,16850.0,3460.0,92.02,0.19,0.02,BOM500013
13,2019-12-11,4.56,4.75,4.51,4.51,4.55,9172.0,22.0,41741.0,6315.0,68.85,0.24,-0.05,BOM500013
14,2019-12-10,4.67,4.82,4.65,4.66,4.67,1916.0,10.0,8941.0,1820.0,94.99,0.17,-0.01,BOM500013
15,2019-12-09,4.58,4.89,4.56,4.7,4.76,5467.0,14.0,26008.0,3312.0,60.58,0.33,0.12,BOM500013
16,2019-12-06,4.65,4.85,4.64,4.66,4.67,3257.0,21.0,15224.0,2075.0,63.71,0.21,0.01,BOM500013
17,2019-12-05,4.74,4.89,4.74,4.75,4.77,2458.0,7.0,11725.0,2342.0,95.28,0.15,0.01,BOM500013
18,2019-12-04,4.66,4.98,4.66,4.98,4.68,1510.0,5.0,7067.0,1500.0,99.34,0.32,0.32,BOM500013
19,2019-12-02,4.9,4.9,4.81,4.81,4.83,350.0,2.0,1692.0,350.0,100.0,0.09,-0.09,BOM500013
20,2019-11-29,5.01,5.05,4.85,4.91,4.91,12530.0,40.0,61470.0,9456.0,75.47,0.2,-0.1,BOM500013
21,2019-11-28,4.9,5.0,4.78,5.0,4.95,2734.0,9.0,13532.0,2552.0,93.34,0.22,0.1,BOM500013
22,2019-11-27,4.89,4.98,4.66,4.94,4.82,4932.0,32.0,23782.0,4069.0,82.5,0.32,0.05,BOM500013
23,2019-11-26,4.9,4.9,4.71,4.75,4.79,9914.0,16.0,47489.0,9304.0,93.85,0.19,-0.15,BOM500013
24,2019-11-25,5.0,5.0,4.65,4.7,4.74,14810.0,33.0,70236.0,9833.0,66.39,0.35,-0.3,BOM500013
25,2019-11-22,5.0,5.0,4.75,4.79,4.94,4477.0,11.0,22131.0,4386.0,97.97,0.25,-0.21,BOM500013
26,2019-11-21,4.61,5.07,4.61,5.0,5.03,11302.0,19.0,56886.0,9792.0,86.64,0.46,0.39,BOM500013
27,2019-11-20,5.25,5.25,4.8,4.83,5.13,34425.0,56.0,176677.0,26022.0,75.59,0.45,-0.42,BOM500013
