,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
0,2019-12-31,188.0,194.35,186.3,193.5,191.94,8698.0,388.0,1669477.0,3381.0,38.87,8.05,5.5,BOM500003
1,2019-12-30,176.5,191.75,176.5,190.05,185.6,15582.0,1300.0,2891977.0,7736.0,49.65,15.25,13.55,BOM500003
2,2019-12-27,173.9,177.45,173.9,175.45,174.99,7554.0,498.0,1321857.0,4949.0,65.51,3.55,1.55,BOM500003
3,2019-12-26,172.5,188.0,167.5,173.15,175.02,20677.0,600.0,3618985.0,8351.0,40.39,20.5,0.65,BOM500003
4,2019-12-24,165.0,176.0,165.0,172.55,173.26,8457.0,712.0,1465238.0,3782.0,44.72,11.0,7.55,BOM500003
5,2019-12-23,175.15,175.95,168.2,168.65,171.11,5822.0,793.0,996224.0,3951.0,67.86,7.75,-6.5,BOM500003
6,2019-12-20,181.2,182.25,172.05,174.2,175.03,3770.0,416.0,659874.0,2523.0,66.92,10.2,-7.0,BOM500003
7,2019-12-19,181.0,184.5,178.35,179.15,181.2,3414.0,437.0,618620.0,1079.0,31.61,6.15,-1.85,BOM500003
8,2019-12-18,182.45,185.95,178.5,178.9,181.98,4067.0,448.0,740116.0,1572.0,38.65,7.45,-3.55,BOM500003
9,2019-12-17,183.0,186.5,182.2,184.15,183.84,7949.0,705.0,1461365.0,5814.0,73.14,4.3,1.15,BOM500003
10,2019-12-16,183.0,185.95,181.5,182.25,183.68,5479.0,923.0,1006391.0,4693.0,85.65,4.45,-0.75,BOM500003
11,2019-12-13,187.65,189.95,180.0,182.25,185.25,10980.0,861.0,2034059.0,6803.0,61.96,9.95,-5.4,BOM500003
12,2019-12-12,190.3,191.9,184.0,185.8,186.9,2188.0,187.0,408948.0,1390.0,63.53,7.9,-4.5,BOM500003
13,2019-12-11,190.0,193.75,188.6,190.0,191.84,10865.0,475.0,2084377.0,5951.0,54.77,5.15,0.0,BOM500003
14,2019-12-10,189.95,190.35,188.2,189.95,188.71,5626.0,560.0,1061702.0,4843.0,86.08,2.15,0.0,BOM500003
15,2019-12-09,190.5,193.45,187.65,188.4,189.54,1583.0,225.0,300048.0,768.0,48.52,5.8,-2.1,BOM500003
16,2019-12-06,195.5,196.0,191.0,191.8,192.29,5430.0,150.0,1044117.0,4260.0,78.45,5.0,-3.7,BOM500003
17,2019-12-05,195.2,195.9,191.2,191.7,192.99,2072.0,224.0,399869.0,1007.0,48.6,4.7,-3.5,BOM500003
18,2019-12-04,194.9,197.6,192.7,193.85,194.78,3320.0,270.0,646685.0,1866.0,56.2,4.9,-1.05,BOM500003
19,2019-12-03,194.0,195.0,193.0,193.5,193.97,2121.0,129.0,411404.0,1099.0,51.82,2.0,-0.5,BOM500003
20,2019-12-02,196.9,203.45,192.15,195.45,197.31,15572.0,1202.0,3072488.0,7033.0,45.16,11.3,-1.45,BOM500003
21,2019-11-29,197.0,199.0,194.5,196.1,196.24,10390.0,578.0,2038939.0,6982.0,67.2,4.5,-0.9,BOM500003
22,2019-11-28,190.45,199.1,189.0,194.4,193.69,11631.0,801.0,2252817.0,5077.0,43.65,10.1,3.95,BOM500003
23,2019-11-27,193.1,194.4,188.15,188.8,190.61,5209.0,415.0,992896.0,2588.0,49.68,6.25,-4.3,BOM500003
24,2019-11-26,191.0,195.0,188.55,194.35,192.68,7868.0,562.0,1516029.0,5051.0,64.2,6.45,3.35,BOM500003
25,2019-11-25,185.0,192.0,180.1,189.9,185.6,11710.0,668.0,2173401.0,4521.0,38.61,11.9,4.9,BOM500003
26,2019-11-22,193.0,194.0,183.3,185.0,188.9,44094.0,1999.0,8329153.0,9572.0,21.71,10.7,-8.0,BOM500003
27,2019-11-21,180.0,187.0,179.0,184.75,183.31,14171.0,937.0,2597704.0,5641.0,39.81,8.0,4.75,BOM500003
28,2019-11-20,175.75,182.2,175.3,179.4,178.16,10115.0,395.0,1802121.0,7785.0,76.96,6.9,3.65,BOM500003
29,2019-11-19,175.9,179.15,174.7,175.65,177.28,17621.0,349.0,3123836.0,2724.0,15.46,4.45,-0.25,BOM500003
30,2019-11-18,176.5,178.55,173.65,175.2,176.57,15632.0,959.0,2760162.0,5694.0,36.43,4.9,-1.3,BOM500003
31,2019-11-15,180.0,180.0,171.0,174.85,174.82,20637.0,1120.0,3607680.0,8920.0,43.22,9.0,-5.15,BOM500003
32,2019-11-14,166.0,184.2,165.8,179.05,177.58,66780.0,2076.0,11858577.0,29114.0,43.6,18.4,13.05,BOM500003
33,2019-11-13,164.3,166.1,161.1,165.25,164.53,2453.0,134.0,403597.0,1765.0,71.95,5.0,0.95,BOM500003
34,2019-11-11,164.2,167.8,163.55,164.35,164.56,10012.0,1113.0,1647589.0,5969.0,59.62,4.25,0.15,BOM500003
35,2019-11-08,168.0,169.05,162.65,164.2,165.06,15430.0,440.0,2546921.0,13883.0,89.97,6.4,-3.8,BOM500003
36,2019-11-07,168.0,169.65,163.35,167.45,168.27,7079.0,169.0,1191190.0,5698.0,80.49,6.3,-0.55,BOM500003
37,2019-11-06,166.95,170.7,165.0,165.2,165.67,64845.0,890.0,10743033.0,60893.0,93.91,5.7,-1.75,BOM500003
38,2019-11-05,170.0,175.0,164.6,165.35,170.78,8294.0,1043.0,1416458.0,3846.0,46.37,10.4,-4.65,BOM500003
39,2019-11-04,173.3,174.1,166.75,169.1,171.08,10130.0,1501.0,1733061.0,6918.0,68.29,7.35,-4.2,BOM500003
40,2019-11-01,173.0,175.0,171.3,171.85,172.95,2312.0,112.0,399869.0,1264.0,54.67,3.7,-1.15,BOM500003
41,2019-10-31,173.6,174.9,169.2,171.85,172.25,19527.0,1306.0,3363618.0,13592.0,69.61,5.7,-1.75,BOM500003
42,2019-10-30,175.6,175.7,170.1,170.7,174.08,5388.0,269.0,937956.0,4551.0,84.47,5.6,-4.9,BOM500003
43,2019-10-29,166.65,175.75,166.6,174.9,173.57,15230.0,749.0,2643401.0,10326.0,67.8,9.15,8.25,BOM500003
44,2019-10-27,167.2,167.55,166.15,167.1,166.91,541.0,42.0,90296.0,419.0,77.45,1.4,-0.1,BOM500003
45,2019-10-25,172.0,174.0,162.15,164.55,166.49,7661.0,1224.0,1275450.0,5302.0,69.21,11.85,-7.45,BOM500003
46,2019-10-24,176.2,177.65,169.0,170.3,173.96,2920.0,217.0,507950.0,2572.0,88.08,8.65,-5.9,BOM500003
47,2019-10-23,179.0,179.15,174.45,176.4,176.27,4638.0,322.0,817526.0,1702.0,36.7,4.7,-2.6,BOM500003
48,2019-10-22,171.05,182.85,171.0,180.4,177.84,7836.0,755.0,1393522.0,5067.0,64.66,11.85,9.35,BOM500003
