Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
2020-05-11,22.2,22.2,21.0,21.35,21.41,29373.0,194.0,628752.0,23329.0,79.42,1.2,-0.85,BOM500012
2020-05-08,21.25,21.6,20.8,21.2,21.12,25050.0,122.0,528942.0,23276.0,92.92,0.8,-0.05,BOM500012
2020-05-07,22.95,22.95,21.05,21.15,21.47,29878.0,197.0,641590.0,24355.0,81.51,1.9,-1.8,BOM500012
2020-05-06,22.6,22.6,21.75,22.15,22.17,18275.0,184.0,405173.0,15364.0,84.07,0.85,-0.45,BOM500012
2020-05-05,23.55,23.55,21.7,21.7,22.06,27804.0,274.0,613427.0,20092.0,72.26,1.85,-1.85,BOM500012
2020-05-04,23.25,23.55,22.8,22.8,22.9,31789.0,244.0,727814.0,25790.0,81.13,0.75,-0.45,BOM500012
2020-04-30,24.8,24.8,23.85,24.0,24.21,54283.0,234.0,1313997.0,42829.0,78.9,0.95,-0.8,BOM500012
2020-04-29,24.65,24.7,23.75,23.85,24.16,52769.0,265.0,1275081.0,40533.0,76.81,0.95,-0.8,BOM500012
2020-04-28,23.2,24.9,23.2,23.95,23.96,18759.0,130.0,449456.0,15541.0,82.85,1.7,0.75,BOM500012
2020-04-27,23.3,24.3,23.3,23.75,23.85,19980.0,155.0,476483.0,14960.0,74.87,1.0,0.45,BOM500012
2020-04-24,24.25,24.45,23.05,23.15,23.35,42091.0,224.0,982641.0,31316.0,74.4,1.4,-1.1,BOM500012
2020-04-23,24.05,24.9,23.8,24.25,24.4,64675.0,277.0,1577944.0,47285.0,73.11,1.1,0.2,BOM500012
2020-04-22,25.0,25.95,23.75,24.7,25.14,55908.0,268.0,1405527.0,44261.0,79.17,2.2,-0.3,BOM500012
2020-04-21,25.05,25.05,22.75,24.9,24.35,201994.0,578.0,4918359.0,155614.0,77.04,2.3,-0.15,BOM500012
2020-04-20,23.9,23.9,23.9,23.9,23.9,47568.0,94.0,1136875.0,47568.0,100.0,0.0,0.0,BOM500012
2020-04-17,22.8,22.8,22.8,22.8,22.8,18297.0,39.0,417171.0,18297.0,100.0,0.0,0.0,BOM500012
2020-04-16,21.7,21.75,21.7,21.75,21.73,12886.0,47.0,280068.0,12886.0,100.0,0.05,0.05,BOM500012
2020-04-15,19.85,20.75,19.8,20.75,20.71,61566.0,180.0,1275329.0,61566.0,100.0,0.95,0.9,BOM500012
2020-04-13,19.8,19.8,19.0,19.8,19.76,63292.0,146.0,1250723.0,63292.0,100.0,0.8,0.0,BOM500012
2020-04-09,18.9,18.9,18.05,18.9,18.9,32115.0,61.0,606836.0,32115.0,100.0,0.85,0.0,BOM500012
2020-04-08,18.75,19.1,17.5,18.0,17.96,68075.0,201.0,1222949.0,68075.0,100.0,1.6,-0.75,BOM500012
2020-04-07,17.8,18.25,17.65,18.2,18.01,51128.0,215.0,920964.0,51128.0,100.0,0.6,0.4,BOM500012
2020-04-03,17.0,17.75,16.3,17.4,17.24,28520.0,111.0,491686.0,28520.0,100.0,1.45,0.4,BOM500012
2020-04-01,16.95,17.25,16.0,17.05,16.88,14255.0,102.0,240658.0,14255.0,100.0,1.25,0.1,BOM500012
2020-03-31,16.45,16.45,15.8,16.45,16.38,23250.0,102.0,380852.0,23250.0,100.0,0.65,0.0,BOM500012
2020-03-30,15.45,16.15,14.7,15.7,15.37,22997.0,138.0,353532.0,22997.0,100.0,1.45,0.25,BOM500012
2020-03-27,16.7,16.7,15.2,15.45,15.8,82878.0,172.0,1309664.0,82878.0,100.0,1.5,-1.25,BOM500012
2020-03-26,15.1,16.5,15.1,15.95,16.29,53700.0,151.0,874914.0,53700.0,100.0,1.4,0.85,BOM500012
2020-03-25,15.05,16.25,15.05,15.75,15.35,13708.0,104.0,210362.0,13708.0,100.0,1.2,0.7,BOM500012
2020-03-24,15.1,16.6,15.1,15.8,15.43,17526.0,110.0,270417.0,17526.0,100.0,1.5,0.7,BOM500012
2020-03-23,15.85,17.45,15.85,15.85,15.93,17805.0,84.0,283578.0,17805.0,100.0,1.6,0.0,BOM500012
2020-03-20,17.95,18.0,16.55,16.65,16.83,77598.0,331.0,1305829.0,77598.0,100.0,1.45,-1.3,BOM500012
2020-03-19,18.3,18.3,17.4,17.4,17.42,20680.0,242.0,360185.0,20680.0,100.0,0.9,-0.9,BOM500012
2020-03-18,20.0,20.2,18.3,18.3,18.81,42501.0,283.0,799479.0,42501.0,100.0,1.9,-1.7,BOM500012
2020-03-17,21.05,21.05,19.25,19.25,19.38,40499.0,169.0,784866.0,40499.0,100.0,1.8,-1.8,BOM500012
2020-03-16,21.8,22.0,20.05,20.25,20.54,53651.0,190.0,1102130.0,53651.0,100.0,1.95,-1.55,BOM500012
2020-03-13,21.2,23.15,21.1,21.1,21.37,17108.0,115.0,365660.0,17108.0,100.0,2.05,-0.1,BOM500012
2020-03-12,22.8,22.8,22.2,22.2,22.24,6860.0,75.0,152533.0,6860.0,100.0,0.6,-0.6,BOM500012
2020-03-11,23.95,24.85,22.8,23.35,23.34,6997.0,92.0,163295.0,6997.0,100.0,2.05,-0.6,BOM500012
2020-03-09,25.0,25.0,23.45,23.95,23.54,15009.0,77.0,353339.0,15009.0,100.0,1.55,-1.05,BOM500012
2020-03-06,25.2,26.6,24.45,24.65,24.92,21299.0,107.0,530708.0,21299.0,100.0,2.15,-0.55,BOM500012
2020-03-05,26.0,26.7,25.2,25.7,25.64,15634.0,62.0,400857.0,15634.0,100.0,1.5,-0.3,BOM500012
2020-03-04,24.65,25.8,24.6,25.75,25.38,38668.0,120.0,981360.0,38668.0,100.0,1.2,1.1,BOM500012
2020-03-03,23.45,24.6,22.6,24.6,24.34,21320.0,84.0,518825.0,21320.0,100.0,2.0,1.15,BOM500012
2020-03-02,23.45,23.45,22.5,23.45,23.43,37651.0,80.0,882138.0,37651.0,100.0,0.95,0.0,BOM500012
2020-02-28,24.25,24.25,21.95,22.35,22.15,38457.0,245.0,851942.0,38457.0,100.0,2.3,-1.9,BOM500012
2020-02-27,25.05,25.05,22.8,23.1,23.11,33044.0,176.0,763702.0,33044.0,100.0,2.25,-1.95,BOM500012
2020-02-26,26.7,26.7,23.0,23.95,24.71,39387.0,215.0,973447.0,27693.0,70.31,3.7,-2.75,BOM500012
2020-02-25,25.05,25.9,25.0,25.3,25.27,19577.0,125.0,494719.0,13877.0,70.88,0.9,0.25,BOM500012
2020-02-24,27.75,27.75,25.1,25.4,25.6,26298.0,129.0,673282.0,23581.0,89.67,2.65,-2.35,BOM500012
2020-02-20,25.1,26.5,25.1,25.85,25.86,35738.0,169.0,924342.0,30053.0,84.09,1.4,0.75,BOM500012
2020-02-19,27.85,27.85,25.2,25.45,25.99,40237.0,251.0,1045577.0,33125.0,82.32,2.65,-2.4,BOM500012
2020-02-18,27.3,28.7,26.0,27.0,26.92,35503.0,181.0,955798.0,25933.0,73.04,2.7,-0.3,BOM500012
2020-02-17,28.6,29.45,26.9,27.25,27.89,51824.0,221.0,1445163.0,35114.0,67.76,2.55,-1.35,BOM500012
2020-02-14,29.0,29.65,28.15,28.75,28.76,27751.0,116.0,797990.0,21074.0,75.94,1.5,-0.25,BOM500012
2020-02-13,27.85,30.25,27.15,29.0,29.09,54825.0,244.0,1594897.0,40624.0,74.1,3.1,1.15,BOM500012
2020-02-12,29.7,29.7,27.6,27.85,28.16,49575.0,287.0,1396126.0,34635.0,69.86,2.1,-1.85,BOM500012
2020-02-11,29.6,30.5,28.8,29.15,29.31,22839.0,166.0,669392.0,17880.0,78.29,1.7,-0.45,BOM500012
2020-02-10,31.5,31.8,29.35,29.85,30.06,39122.0,189.0,1175974.0,30988.0,79.21,2.45,-1.65,BOM500012
2020-02-07,30.3,32.9,29.0,31.3,30.6,65511.0,296.0,2004653.0,33885.0,51.72,3.9,1.0,BOM500012
2020-02-06,29.0,30.4,28.75,30.1,29.9,17970.0,102.0,537279.0,14319.0,79.68,1.65,1.1,BOM500012
2020-02-05,30.1,30.7,29.0,29.65,29.38,31735.0,157.0,932437.0,21561.0,67.94,1.7,-0.45,BOM500012
2020-02-04,28.3,30.7,28.05,30.15,29.72,60117.0,276.0,1786780.0,39908.0,66.38,2.65,1.85,BOM500012
2020-02-03,31.0,31.75,27.15,28.75,29.48,114404.0,519.0,3372348.0,77469.0,67.72,4.6,-2.25,BOM500012
2020-02-01,35.15,35.75,30.6,31.75,33.01,68997.0,320.0,2277787.0,48722.0,70.61,5.15,-3.4,BOM500012
2020-01-31,33.85,35.7,33.85,34.4,34.65,21643.0,101.0,750008.0,19542.0,90.29,1.85,0.55,BOM500012
2020-01-30,36.0,36.0,33.55,34.35,34.25,36344.0,178.0,1244857.0,29820.0,82.05,2.45,-1.65,BOM500012
2020-01-29,35.5,36.25,34.25,35.0,35.32,25925.0,148.0,915779.0,22097.0,85.23,2.0,-0.5,BOM500012
2020-01-28,36.15,38.2,35.4,35.5,35.99,37502.0,195.0,1349780.0,33621.0,89.65,2.8,-0.65,BOM500012
2020-01-27,39.0,39.0,36.0,36.15,37.23,117327.0,474.0,4367799.0,96875.0,82.57,3.0,-2.85,BOM500012
2020-01-24,39.35,40.5,39.0,39.3,39.48,15775.0,113.0,622874.0,11922.0,75.58,1.5,-0.05,BOM500012
2020-01-23,39.9,40.5,39.3,40.25,39.99,10295.0,92.0,411646.0,9273.0,90.07,1.2,0.35,BOM500012
2020-01-22,40.1,40.35,39.1,39.45,39.49,14442.0,123.0,570320.0,10093.0,69.89,1.25,-0.65,BOM500012
2020-01-21,40.6,41.0,39.65,40.15,40.09,22627.0,115.0,907030.0,17058.0,75.39,1.35,-0.45,BOM500012
2020-01-20,41.3,43.0,39.55,40.65,40.62,48936.0,216.0,1987899.0,37715.0,77.07,3.45,-0.65,BOM500012
2020-01-17,41.3,44.45,40.5,41.7,41.72,51998.0,314.0,2169123.0,37589.0,72.29,3.95,0.4,BOM500012
2020-01-16,40.5,41.5,39.65,40.8,40.63,42511.0,198.0,1727060.0,34557.0,81.29,1.85,0.3,BOM500012
2020-01-15,39.9,41.2,38.5,40.95,40.35,81238.0,348.0,3277845.0,69058.0,85.01,2.7,1.05,BOM500012
2020-01-14,36.75,39.25,36.75,38.95,38.32,78171.0,348.0,2995381.0,61860.0,79.13,2.5,2.2,BOM500012
2020-01-13,36.85,37.25,36.45,36.6,36.76,31141.0,126.0,1144589.0,29108.0,93.47,0.8,-0.25,BOM500012
2020-01-10,37.25,37.5,36.1,36.45,36.81,36764.0,174.0,1353308.0,25041.0,68.11,1.4,-0.8,BOM500012
2020-01-09,37.95,37.95,36.0,37.15,37.05,41423.0,222.0,1534777.0,23268.0,56.17,1.95,-0.8,BOM500012
2020-01-08,36.9,37.45,36.05,36.3,36.6,20642.0,155.0,755449.0,16500.0,79.93,1.4,-0.6,BOM500012
2020-01-07,35.95,37.5,35.95,37.25,36.98,30078.0,156.0,1112351.0,22765.0,75.69,1.55,1.3,BOM500012
2020-01-06,37.0,38.25,34.9,35.65,36.46,34927.0,196.0,1273318.0,28157.0,80.62,3.35,-1.35,BOM500012
2020-01-03,38.0,38.55,37.05,37.45,37.8,53453.0,354.0,2020720.0,43709.0,81.77,1.5,-0.55,BOM500012
2020-01-02,35.95,38.0,34.1,37.9,36.94,84193.0,387.0,3110177.0,55484.0,65.9,3.9,1.95,BOM500012
2020-01-01,37.7,37.7,34.05,35.5,35.87,55916.0,323.0,2005650.0,45877.0,82.05,3.65,-2.2,BOM500012
2019-12-31,33.35,37.0,33.35,36.3,35.74,122615.0,609.0,4382666.0,98966.0,80.71,3.65,2.95,BOM500012
2019-12-30,31.05,34.1,30.65,33.55,32.95,78782.0,353.0,2595829.0,57540.0,73.04,3.45,2.5,BOM500012
2019-12-27,30.3,31.25,30.0,31.1,30.72,35536.0,145.0,1091682.0,26690.0,75.11,1.25,0.8,BOM500012
2019-12-26,31.0,31.8,30.0,31.1,31.05,33558.0,136.0,1041840.0,26736.0,79.67,1.8,0.1,BOM500012
2019-12-24,29.7,30.5,29.7,30.45,30.29,12788.0,67.0,387305.0,9476.0,74.1,0.8,0.75,BOM500012
2019-12-23,30.2,30.75,29.8,30.4,30.35,27873.0,112.0,845987.0,24872.0,89.23,0.95,0.2,BOM500012
2019-12-20,29.55,30.4,29.55,30.1,29.99,25885.0,168.0,776351.0,18076.0,69.83,0.85,0.55,BOM500012
2019-12-19,29.7,31.85,29.05,29.55,29.92,33438.0,174.0,1000559.0,25766.0,77.06,2.8,-0.15,BOM500012
2019-12-18,30.5,30.5,30.0,30.25,30.18,19627.0,106.0,592380.0,15532.0,79.14,0.5,-0.25,BOM500012
2019-12-17,30.6,30.6,29.85,30.2,30.06,25844.0,117.0,776914.0,21911.0,84.78,0.75,-0.4,BOM500012
2019-12-16,30.25,30.5,29.65,29.95,30.13,24955.0,145.0,751779.0,18503.0,74.15,0.85,-0.3,BOM500012
2019-12-13,30.95,31.2,29.5,29.75,29.89,41883.0,235.0,1252019.0,29260.0,69.86,1.7,-1.2,BOM500012
2019-12-12,31.65,31.95,29.75,30.3,30.28,31749.0,155.0,961404.0,27583.0,86.88,2.2,-1.35,BOM500012
2019-12-11,31.85,32.2,29.8,30.3,31.17,43168.0,202.0,1345440.0,34396.0,79.68,2.4,-1.55,BOM500012
2019-12-10,31.05,32.0,30.8,30.95,31.36,19379.0,137.0,607681.0,15640.0,80.71,1.2,-0.1,BOM500012
2019-12-09,32.0,32.45,31.3,31.75,31.91,12687.0,87.0,404855.0,11019.0,86.85,1.15,-0.25,BOM500012
2019-12-06,32.2,35.0,31.6,32.15,32.31,26905.0,110.0,869358.0,24868.0,92.43,3.4,-0.05,BOM500012
2019-12-05,33.95,33.95,32.25,32.35,32.71,23203.0,156.0,759026.0,20969.0,90.37,1.7,-1.6,BOM500012
2019-12-04,32.6,33.9,32.6,33.15,33.02,16910.0,112.0,558448.0,12084.0,71.46,1.3,0.55,BOM500012
2019-12-03,35.95,35.95,33.05,33.95,33.79,9102.0,112.0,307585.0,6120.0,67.24,2.9,-2.0,BOM500012
2019-12-02,36.0,36.0,33.5,34.35,34.03,13078.0,106.0,444980.0,8485.0,64.88,2.5,-1.65,BOM500012
2019-11-29,34.85,35.4,34.5,34.7,34.9,16838.0,103.0,587572.0,14687.0,87.23,0.9,-0.15,BOM500012
2019-11-28,33.75,35.5,33.0,34.85,34.64,33072.0,176.0,1145614.0,27001.0,81.64,2.5,1.1,BOM500012
2019-11-27,33.5,34.0,32.55,33.75,33.43,18594.0,114.0,621615.0,15368.0,82.65,1.45,0.25,BOM500012
2019-11-26,32.2,33.25,32.15,32.95,33.03,27711.0,146.0,915256.0,22308.0,80.5,1.1,0.75,BOM500012
2019-11-25,32.2,33.4,31.4,32.15,32.05,22825.0,132.0,731550.0,17608.0,77.14,2.0,-0.05,BOM500012
2019-11-22,33.5,33.5,31.65,32.35,32.32,13107.0,117.0,423603.0,10663.0,81.35,1.85,-1.15,BOM500012
2019-11-21,32.1,32.5,31.8,32.25,32.12,49437.0,172.0,1588131.0,43564.0,88.12,0.7,0.15,BOM500012
2019-11-20,37.0,37.0,32.3,32.5,32.74,29197.0,163.0,955817.0,22933.0,78.55,4.7,-4.5,BOM500012
2019-11-19,34.15,34.15,32.15,32.35,32.95,59029.0,319.0,1945250.0,47307.0,80.14,2.0,-1.8,BOM500012
2019-11-18,34.55,34.9,34.0,34.05,34.35,21834.0,137.0,749969.0,14758.0,67.59,0.9,-0.5,BOM500012
2019-11-15,34.25,35.65,34.2,34.55,34.69,29561.0,156.0,1025610.0,20248.0,68.5,1.45,0.3,BOM500012
2019-11-14,36.2,36.2,34.0,34.4,34.35,32179.0,207.0,1105398.0,23305.0,72.42,2.2,-1.8,BOM500012
2019-11-13,36.8,36.9,35.0,35.1,35.77,38504.0,311.0,1377357.0,34077.0,88.5,1.9,-1.7,BOM500012
2019-11-11,37.0,37.8,36.4,36.7,37.13,19056.0,140.0,707557.0,15035.0,78.9,1.4,-0.3,BOM500012
2019-11-08,37.55,37.95,37.0,37.6,37.33,28072.0,161.0,1047829.0,20213.0,72.0,0.95,0.05,BOM500012
2019-11-07,37.75,38.5,37.0,37.15,37.55,22237.0,150.0,835102.0,17318.0,77.88,1.5,-0.6,BOM500012
2019-11-06,37.7,38.35,37.5,37.9,37.88,12783.0,109.0,484203.0,11084.0,86.71,0.85,0.2,BOM500012
2019-11-05,38.05,38.5,37.1,37.9,37.92,31004.0,150.0,1175757.0,22201.0,71.61,1.4,-0.15,BOM500012
2019-11-04,36.3,39.2,36.3,38.0,37.69,80320.0,404.0,3027054.0,57121.0,71.12,2.9,1.7,BOM500012
2019-11-01,40.6,41.2,39.8,39.9,40.16,43416.0,202.0,1743583.0,34849.0,80.27,1.4,-0.7,BOM500012
2019-10-31,40.05,41.6,40.0,40.55,40.76,17080.0,123.0,696195.0,11884.0,69.58,1.6,0.5,BOM500012
2019-10-30,41.0,41.0,39.35,40.2,40.15,26737.0,176.0,1073391.0,20816.0,77.85,1.65,-0.8,BOM500012
2019-10-29,39.5,41.55,39.3,41.0,40.63,33364.0,224.0,1355419.0,27266.0,81.72,2.25,1.5,BOM500012
2019-10-27,39.9,39.9,38.85,39.5,39.53,12861.0,69.0,508371.0,11910.0,92.61,1.05,-0.4,BOM500012
2019-10-25,38.85,39.25,38.6,38.85,38.9,9168.0,86.0,356673.0,6896.0,75.22,0.65,0.0,BOM500012
2019-10-24,38.65,39.25,38.5,38.7,38.9,16895.0,102.0,657299.0,13363.0,79.09,0.75,0.05,BOM500012
2019-10-23,38.25,39.5,38.25,38.65,38.81,12936.0,113.0,502098.0,10253.0,79.26,1.25,0.4,BOM500012
2019-10-22,38.85,39.75,38.2,39.1,39.2,16848.0,113.0,660379.0,12414.0,73.68,1.55,0.25,BOM500012
2019-10-18,39.85,39.95,38.5,38.8,38.9,33192.0,225.0,1291114.0,22439.0,67.6,1.45,-1.05,BOM500012
2019-10-17,37.5,39.85,37.5,39.1,39.24,10636.0,110.0,417326.0,8473.0,79.66,2.35,1.6,BOM500012
2019-10-16,39.25,39.8,38.25,39.45,38.9,10691.0,79.0,415878.0,8708.0,81.45,1.55,0.2,BOM500012
2019-10-15,38.35,39.95,37.3,39.25,38.49,17220.0,147.0,662783.0,12301.0,71.43,2.65,0.9,BOM500012
2019-10-14,39.0,39.0,37.65,37.8,38.14,10727.0,109.0,409148.0,7064.0,65.85,1.35,-1.2,BOM500012
2019-10-11,38.2,38.8,37.6,38.4,38.17,9235.0,98.0,352518.0,7917.0,85.73,1.2,0.2,BOM500012
2019-10-10,37.05,38.75,37.05,37.7,37.96,7649.0,54.0,290382.0,7087.0,92.65,1.7,0.65,BOM500012
2019-10-09,38.75,38.75,37.6,38.2,37.98,16887.0,110.0,641373.0,15307.0,90.64,1.15,-0.55,BOM500012
2019-10-07,37.4,39.0,37.4,37.9,38.37,33391.0,176.0,1281090.0,25722.0,77.03,1.6,0.5,BOM500012
2019-10-04,38.0,39.2,36.9,37.4,37.63,37134.0,218.0,1397333.0,25262.0,68.03,2.3,-0.6,BOM500012
2019-10-03,42.7,42.7,37.0,38.2,38.69,31595.0,213.0,1222299.0,21948.0,69.47,5.7,-4.5,BOM500012
2019-10-01,38.35,41.5,38.35,39.6,39.98,35291.0,183.0,1410929.0,25119.0,71.18,3.15,1.25,BOM500012
2019-09-30,41.0,41.3,40.5,40.8,40.72,9300.0,89.0,378725.0,7374.0,79.29,0.8,-0.2,BOM500012
2019-09-27,42.0,43.2,41.3,41.45,42.15,22083.0,153.0,930843.0,16652.0,75.41,1.9,-0.55,BOM500012
2019-09-26,42.0,42.9,41.65,41.75,42.0,14131.0,123.0,593509.0,11370.0,80.46,1.25,-0.25,BOM500012
2019-09-25,43.15,43.5,42.25,42.6,42.74,9376.0,79.0,400715.0,7747.0,82.63,1.25,-0.55,BOM500012
2019-09-24,43.55,43.55,42.45,43.35,42.97,17732.0,145.0,761929.0,9302.0,52.46,1.1,-0.2,BOM500012
2019-09-23,43.0,44.3,43.0,43.5,43.55,28090.0,209.0,1223288.0,15341.0,54.61,1.3,0.5,BOM500012
2019-09-20,40.55,44.0,40.3,42.55,42.46,54161.0,309.0,2299601.0,31625.0,58.39,3.7,2.0,BOM500012
2019-09-19,41.6,41.85,40.25,40.6,40.76,13083.0,127.0,533282.0,9752.0,74.54,1.6,-1.0,BOM500012
2019-09-18,42.95,42.95,41.6,41.8,42.19,8305.0,100.0,350357.0,6790.0,81.76,1.35,-1.15,BOM500012
2019-09-17,44.25,44.95,42.0,42.15,42.92,28036.0,191.0,1203201.0,24680.0,88.03,2.95,-2.1,BOM500012
2019-09-16,41.5,45.0,41.5,44.25,43.4,63403.0,282.0,2751646.0,43892.0,69.23,3.5,2.75,BOM500012
2019-09-13,42.0,42.95,41.7,42.6,42.37,21770.0,127.0,922329.0,16464.0,75.63,1.25,0.6,BOM500012
2019-09-12,40.5,43.0,40.5,42.25,42.24,53777.0,253.0,2271631.0,40031.0,74.44,2.5,1.75,BOM500012
2019-09-11,38.75,41.0,38.3,40.2,39.98,40176.0,236.0,1606262.0,29319.0,72.98,2.7,1.45,BOM500012
2019-09-09,38.3,39.05,37.05,38.9,38.55,20500.0,134.0,790219.0,15110.0,73.71,2.0,0.6,BOM500012
2019-09-06,38.45,39.4,37.6,38.3,38.29,34742.0,167.0,1330270.0,21266.0,61.21,1.8,-0.15,BOM500012
2019-09-05,39.0,40.35,37.7,38.3,38.37,25827.0,170.0,990997.0,18004.0,69.71,2.65,-0.7,BOM500012
2019-09-04,39.25,40.4,38.75,38.8,39.16,17068.0,98.0,668460.0,13728.0,80.43,1.65,-0.45,BOM500012
2019-09-03,40.85,40.85,39.15,39.45,40.01,15664.0,94.0,626738.0,12774.0,81.55,1.7,-1.4,BOM500012
2019-08-30,40.35,41.0,40.0,40.5,40.41,6745.0,76.0,272556.0,5136.0,76.15,1.0,0.15,BOM500012
2019-08-29,40.45,41.35,40.0,40.35,40.45,6707.0,55.0,271308.0,4366.0,65.1,1.35,-0.1,BOM500012
2019-08-28,40.5,41.5,39.0,40.45,40.18,10906.0,85.0,438201.0,8194.0,75.13,2.5,-0.05,BOM500012
2019-08-27,40.7,41.95,38.8,41.3,40.37,32929.0,222.0,1329418.0,26250.0,79.72,3.15,0.6,BOM500012
2019-08-26,40.05,42.0,38.1,39.2,39.57,29275.0,181.0,1158476.0,18749.0,64.04,3.9,-0.85,BOM500012
2019-08-23,39.45,40.0,36.0,39.2,38.51,35086.0,219.0,1351237.0,23133.0,65.93,4.0,-0.25,BOM500012
2019-08-22,39.95,39.95,36.2,37.4,37.47,24980.0,228.0,936118.0,16016.0,64.12,3.75,-2.55,BOM500012
2019-08-21,41.0,41.0,38.05,39.2,39.38,16817.0,122.0,662290.0,14390.0,85.57,2.95,-1.8,BOM500012
2019-08-20,40.55,41.75,39.3,40.05,40.18,17375.0,158.0,698136.0,14420.0,82.99,2.45,-0.5,BOM500012
