Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
2020-06-30,21.15,21.15,19.9,20.35,20.15,149882.0,526.0,3019585.0,129266.0,86.25,1.25,-0.8,BOM500012
2020-06-29,21.85,21.85,20.4,20.7,20.82,127529.0,420.0,2654650.0,108337.0,84.95,1.45,-1.15,BOM500012
2020-06-26,21.85,21.85,20.7,21.05,21.26,208857.0,438.0,4440015.0,180441.0,86.39,1.15,-0.8,BOM500012
2020-06-25,22.05,23.0,20.65,20.7,21.17,329470.0,1036.0,6976119.0,261823.0,79.47,2.35,-1.35,BOM500012
2020-06-24,23.45,24.0,22.45,22.9,23.38,76780.0,350.0,1795412.0,64413.0,83.89,1.55,-0.55,BOM500012
2020-06-23,23.0,23.95,22.8,22.9,23.08,170402.0,462.0,3932669.0,164622.0,96.61,1.15,-0.1,BOM500012
2020-06-22,23.25,23.25,23.25,23.25,23.25,190099.0,577.0,4419801.0,187793.0,98.79,0.0,0.0,BOM500012
2020-06-19,25.65,27.1,25.4,25.8,26.39,109069.0,442.0,2878499.0,84252.0,77.25,1.7,0.15,BOM500012
2020-06-18,24.8,25.95,23.4,25.65,24.74,167372.0,443.0,4140055.0,150049.0,89.65,2.55,0.85,BOM500012
2020-06-17,23.0,24.0,22.25,23.6,23.31,77807.0,183.0,1813553.0,68919.0,88.58,1.75,0.6,BOM500012
2020-06-16,25.35,25.35,22.05,22.75,23.13,85943.0,315.0,1988059.0,67704.0,78.78,3.3,-2.6,BOM500012
2020-06-15,24.0,24.45,22.25,23.1,23.26,84735.0,272.0,1971125.0,71619.0,84.52,2.2,-0.9,BOM500012
2020-06-12,23.05,24.6,22.6,24.0,23.9,51133.0,212.0,1222117.0,47275.0,92.45,2.0,0.95,BOM500012
2020-06-11,24.8,26.0,23.9,24.55,25.07,145479.0,305.0,3647129.0,125740.0,86.43,2.1,-0.25,BOM500012
2020-06-10,24.5,25.3,23.3,24.85,24.81,68316.0,218.0,1695022.0,61117.0,89.46,2.0,0.35,BOM500012
2020-06-09,23.05,24.5,23.05,23.8,23.76,55205.0,224.0,1311570.0,49203.0,89.13,1.45,0.75,BOM500012
2020-06-08,24.0,24.8,23.35,23.7,24.11,57518.0,266.0,1386823.0,45746.0,79.53,1.45,-0.3,BOM500012
2020-06-05,24.3,24.65,23.45,24.0,24.04,133701.0,275.0,3214645.0,113906.0,85.19,1.2,-0.3,BOM500012
2020-06-04,25.8,25.8,23.4,23.45,24.32,102586.0,371.0,2494835.0,71847.0,70.04,2.4,-2.35,BOM500012
2020-06-03,24.6,24.6,24.6,24.6,24.6,32380.0,76.0,796548.0,32380.0,100.0,0.0,0.0,BOM500012
2020-06-02,23.45,23.45,23.45,23.45,23.45,11048.0,64.0,259075.0,11048.0,100.0,0.0,0.0,BOM500012
2020-06-01,22.35,22.35,22.35,22.35,22.35,6941.0,44.0,155131.0,6941.0,100.0,0.0,0.0,BOM500012
2020-05-29,20.4,21.3,20.1,21.3,21.26,54324.0,160.0,1154993.0,52228.0,96.14,1.2,0.9,BOM500012
2020-05-28,20.05,20.6,19.75,20.3,20.19,26631.0,129.0,537727.0,20143.0,75.64,0.85,0.25,BOM500012
2020-05-27,20.9,20.9,19.75,20.0,20.02,25030.0,116.0,500991.0,22417.0,89.56,1.15,-0.9,BOM500012
2020-05-26,21.0,21.35,19.7,20.5,20.64,27315.0,125.0,563679.0,22360.0,81.86,1.65,-0.5,BOM500012
2020-05-22,20.75,21.15,19.75,20.4,20.07,12336.0,95.0,247549.0,11158.0,90.45,1.4,-0.35,BOM500012
2020-05-21,20.0,21.05,20.0,20.55,20.9,35832.0,123.0,748722.0,31751.0,88.61,1.05,0.55,BOM500012
2020-05-20,19.55,20.65,19.45,20.05,20.14,40445.0,152.0,814701.0,35410.0,87.55,1.2,0.5,BOM500012
2020-05-19,19.0,20.35,19.0,19.9,19.78,6147.0,73.0,121592.0,5936.0,96.57,1.35,0.9,BOM500012
2020-05-18,20.55,21.2,19.75,19.75,19.92,29279.0,179.0,583112.0,23575.0,80.52,1.45,-0.8,BOM500012
2020-05-15,21.45,21.45,20.4,20.75,20.64,44860.0,188.0,925774.0,34209.0,76.26,1.05,-0.7,BOM500012
2020-05-14,21.6,21.85,20.5,21.45,21.5,28458.0,130.0,611929.0,19824.0,69.66,1.35,-0.15,BOM500012
2020-05-13,21.0,21.5,20.35,20.85,20.86,57313.0,212.0,1195442.0,45946.0,80.17,1.15,-0.15,BOM500012
2020-05-12,21.35,21.4,20.35,20.75,20.59,29364.0,149.0,604511.0,18911.0,64.4,1.05,-0.6,BOM500012
